list_total,list
626,"قائمة حركة الشبابالوطني التونس ي"
7226,"قائمة حزب التيارالديمقراطي"
589,قائمة حزب حركة التونس ي
475,"قائمة حركة الديمقراطيينالاشتراكيين"
1984,"قائمة الاتحاد من أجلتونس"
6777,قائمة حزب آفاق تونس
475,قائمة أمل تونس
12935,"قائمة حزب الاتحادالوطني الحر"
1099,قائمة نداء قرطاج
324,قائمة حزب العمل التونس ي
533,قائمة الحركة الدستورية
945,قائمة تيـــــــــــــــار المحبة
669,قائمة القوى المستقلة ببن عروس
9534,قائمة الجبهة الشعبية
1808,قائمة فجر البناء
5685,قائمة الحزب الجمهوري
217,قائمة الشباب الموحد لغد أفضل
261,قائمة الأغلبية الصامتة
61420,قائمة حزب حركة النهضة
378,قائمة حزب الجبهة الوطنية التونسية
1443,قائمة حركة وفاء
176,"قائمة اتحاد القوىالشبابية"
275,قائمة حزب الخضر
273,"قائمة حركة الديمقراطيينالاجتماعيين"
333,قائمة حزب المؤتمر الشعبي
649,"قائمة حزب الإصلاحوالتنمية"
403,"قائمة حزب العدالةوالتنمية"
1372,"قائمة حزب التحالفالديمقراطي"
366,قائمة الحزب الاشتراكي
730,قائمة المهنيين
148,"قائمة حزب الحداثةوالأصالة"
420,"قائمة حزب صوت شعبتونس"
486,قائمة نورالمستقبل
365,قائمة الصمود
863,قائمة حركة الشعب
3198,"قائمة حزب المؤتمر منأجل الجمهورية"
528,قائمة حزب المجد
94,قائمة الوعد الصادق
227,قائمة حزب البناء الوطني
331,قائمة حزب الأمان
137,"قائمة الربيع العربيلتحقيق السيادة"
340,"قائمة الوفاء لمشروعالشهيد"
84359,قائمة حركة نداء تونس
1742,قائمة حزب المبادرة
225,"قائمة حزب الأمة للحريةوالعدالة"
673,"قائمة الائتلافالديمقراطي للعمل والتنمية"
1377,قائمة حزب التكتل
178,"قائمة حزب الكرامةوالمساوة"
180,قائمة السيادة
182,قائمة أمان
198,قائمة البيئة تجمعنا
216231,الأصوات المصرح بها لكل
