list_total,list
736,"قائمة أمنشامل"
633,"قائمةالتحدي"
434,"قائمة سماءتونس"
461,"قائمة حزبالغد"
2558,"قائمةالحزب"
355,"قائمة حزبصوت"
8767,"قائمة حزبالتحالف"
631,"قائمة حزبالإصلاح"
352,"قائمةالإرادة"
314,"قائمةالسنبلة"
182,"قائمة حركةالبناء"
341,"قائمة حزبالخضر"
281,"قائمة علمعمل وتحدّي"
391,"قائمة حزبالأمة"
1005,"قائمة تيارالمحبة"
1220,"قائمة حزبالتكتل"
1373,"قائمة حزبالمبادرة"
524,"قائمة نداءقرطاج"
297,قائمة العزّة
394,"قائمةالحركة"
8055,"قائمة حزبالاتحاد"
292,"قائمةالحزب"
354,"قائمة حزبالبناء"
280,"قائمة حركةالشباب"
439,"قائمة تيارصوت"
2024,"قائمةإصلاح وبناء"
3958,"قائمة حزبالتيار"
479,"القائمةالمستقلة"
511,"القائمةالبورقيبية"
1010,"قائمة حركةوفاء"
275,"قائمة حركةالديمقراطيي"
727,"قائمة اتحادالشباب"
741,"قائمةالاتحاد من"
344,قائمة الرقي
3975,"قائمة حزبآفاق تونس"
297,"قائمة حزبالأمان"
439,"قائمة حركةبديل"
56968,"قائمة حركةنداء تونس"
969,"قائمةناقفوا"
276,"قائمةمشروع"
297,"قائمة حركةالديمقراطيي"
358,"قائمةالمهمشين"
3614,"قائمةالجبهة"
43437,"قائمة حزبحركة"
668,"قائمة حركةالشعب"
2352,"قائمة حزبالمؤتمر من"
154388,الأصوات
