list_total,list
2273,قائمة حزب صوت الفلاحين
1078,قائمة الخضراء أمنا
334,قائمة الانطلاق
300,قائمة الحزب الشعبي التقدمي
399,قائمة الكرامة
289,قائمة حرية وكرامة
238,قائمة حركة بديل
174,قائمة حزب النور للديمقراطية والتنمية
407,قائمة لدينا حلم
453,قائمة جندوبة أولا
377,قائمة فريڨة
423,قائمة أولاد بلاد
1803,قائمة الاتحاد من أجل تونس
399,قائمة شمس أمل خمير
733,"قائمة الائتلاف الديمقراطي للعملوالتنمية"
34484,قائمة حركة نداء تونس
585,قائمة حزب الجبهة الوطنية التونسية
335,قائمة التنمية والعدالة والمساواة
312,قائمة آفاق تنموية
510,قائمة صدى الشمال
379,قائمة الحركة الدستورية
461,قائمة حركة وفاء
276,قائمة حركة الديمقراطيين الاجتماعيين
241,قائمة حركة التونس ي
545,قائمة تيار المحبة
828,قائمة حزب التحالف الديمقراطي
475,قائمة حزب المبادرة
225,قائمة حزب المؤتمر الشعبي
493,قائمة الشروق
1349,قائمة الحزب الجمهوري
383,قائمة عندي أمل
591,قائمة حزب الغد
1118,قائمة حزب آفاق تونس
461,قائمة الحزب الاشتراكي
285,قائمة سوق الأربعاء
389,قائمة حركة الديمقراطيين الاشتراكيين
1522,قائمة صوت المرجان
1041,قائمة حزب المؤتمر من أجل الجمهورية
356,قائمة التضامن من أجل التنمية
243,قائمةالحزب الجمهوري المغاربي
242,قائمة حزب الأمان
158,قائمة حزب المجد
257,قائمة حزب البناء الوطني
191,قائمة بلاريجيا
348,قائمة حزب صوت شعب تونس
424,قائمة الشباب
19829,قائمة حزب حركة النهضة
747,قائمة حزب التيار الديمقراطي
299,قائمة الخبرة... هي الحل
305,قائمة العبور
4084,قائمة حزب الاتحاد الوطني الحر
159,"قائمة الربيع العربي لتحقيق السيادةالاقتصادية"
822,قائمة أحرار جندوبة
6386,قائمة الجبهة الشعبية
1552,قائمة حركة الشعب
1096,قائمة حزب الوحدة
368,قائمة الحرية والتنمية
179,"قائمة الأخوة والوفاق لضمان السلموالرقي"
775,قائمة أمل جندوبة
868,قائمة حزب التكتل
96656,الأصوات المصرح بها لكل القائمات
