list_total,list
365,قائمة نفزاوة أولا
285,قائمة حزب الثقافة والعمل
404,قائمة حزب المؤتمر الشعبي
204,قائمة الكرامة
329,قائمة الحركة الدستورية
265,قائمة حركة وفاء
529,قائمة التحدي
119,قائمة المعتدلة المستقلة
1618,قائمة الجبهة الشعبية
157,قائمة العلم
246,قائمة الإصلاح والمصالحة
106,قائمة حركة الديمقراطيين الاشتراكيين
222,قائمة حركة التونس ي
8489,قائمة حركة الشعب
432,قائمة الحزب الجمهوري
2066,قائمة حزب الاتحاد الوطني الحر
553,قائمة حزب التيار الديمقراطي
8953,قائمة حزب المؤتمر من أجل الجمهورية
88,قائمة حزب الغد
171,قائمة حزب تونس الزيتونة
889,قائمة حزب المبادرة
681,قائمة تيار المحبة
196,قائمة حزب اللقاء الدستوري
5793,قائمة حركة نداء تونس
21944,قائمة حزب حركة النهضة
216,قائمة الانفتاح والوفاء
