list_total,list
974,قائمة الميزان
887,قائمة النور
220,"قائمة اتحادالشباب"
244,"قائمة حركةالتونس ي"
5020,"قائمة الجبهةالشعبية"
314,"قائمة بناءتونس بالبيئة"
586,"قائمة حزب آفاقتونس"
617,"قائمة حزبالمبادرة"
312,"قائمة حزبصوت شعب"
313,"قائمة الجبهةالوطنية للانقاذ"
268,"قائمة اتحادالقوى الشبابية"
34885,"قائمة حزبحركة نداء تونس"
705,"قائمة الحزبالاشتراكي"
420,"قائمة الحق فيالتنمية"
12672,"قائمة حزبحركة النهضة"
718,"قائمة حزبالتحالف"
565,قائمة  تيار المحبة
657,"قائمة الحزبالجمهوري"
1081,"قائمة الإرادةالحرة"
949,"قائمة حزبالمؤتمر من أجل"
468,قائمة المستقلون
842,قائمة حركة وفاء
138,"قائمة حزبالانفتاح والوفاء"
289,"قائمة حركةالدمقراطيين"
835,"قائمة حركةالشعب"
326,"قائمة حزبالبناء الوطني"
205,"قائمة حزبالأمان"
692,"قائمة حزبالتيار الديمقراطي"
247,"قائمة جسورالبناء"
684,"قائمة الوحدةالدستورية"
453,"قائمة الكافتريد..."
3069,"قائمة حزبالاتحاد الوطني"
236,"قائمة الكافللتقدم والنماء"
222,"قائمة حزبالخضر"
325,"قائمة الصوتالعالي للجهة"
227,"قائمة الحزبالشعبي التقدمي"
463,"قائمة أحرار ولايةالكاف"
