list_total,list
513,قائمة حزب المجد
10915,قائمة حزب آفاق تونس
397,قائمة التطلع
398,"قائمة حزب صوت شعبتونس"
1259,"قائمة حزب التيارالديمقراطي"
405,قائمة حركة التونس ي
1342,"قائمة حزب المؤتمر منأجل الجمهورية"
1060,قائمة الفلاح
1250,قائمة الحركة الدستورية
24865,قائمة حزب حركة النهضة
349,"قائمة  تيار صوت الشعبالحر"
770,"قائمة الاتحاد من أجلتونس"
2747,"قائمة حزب الاتحادالوطني الحر"
536,قائمة الشعب يريد
244,قائمة الإنقاذ
248,"قائمة العزم والإرادةوالعمل"
3215,قائمة الجبهة الشعبية
211,قائمة الشباب الديمقراطي
2151,قائمة الحزب الجمهوري
364,قائمة نضال كريم
50448,قائمة حركة نداء تونس
1118,قائمة تيار المحبة
246,قائمة العدالة والتنمية
1257,قائمة حركة وفاء
256,قائمة حزب الأمان
327,قائمة العزة لتونس
251,"قائمة الحزب الديمقراطيللعدالة والرخاء"
811,"قائمة حزب التحالفالديمقراطي"
651,"قائمة الرفاهة (حزبالرفاه التونس ي)"
