,list,seats
0,قائمة حزب حركة النهضة,59.0
1,قائمة حركة نداء تونس,80.0
2,قائمة حزب الاتحاد الوطني الحر,16.0
3,قائمة حزب آفاق تونس,8.0
4,قائمة الجبهة الشعبية,14.0
5,قائمة حزب التيار الديمقراطي,4.0
6,قائمة حزب التحالف,1.0
7,قائمة حزب المؤتمر من أجل الجمهورية,4.0
8,القائمة المستقلة الإقلاع,1.0
9,قائمة حزب صوت الفلاحين,1.0
10,قائمة  تيار المحبة,2.0
11,قائمة حركة الشعب,2.0
12,قائمة  الجبهة الشعبية,1.0
13,قائمة الجبهة الوطنية للإنقاذ,1.0
14,قائمة الوفاء لمشروع الشهيد,1.0
15,قائمة الحزب الجمهوري,1.0
16,قائمة حزب المبادرة,2.0
17,قائمة المجد الجريد,1.0
