list_total,list
587,قائمة حزب العمل التونس ي
891,قائمة الاتحاد من أجل تونس
188,قائمة اتحاد القوى الشبابية
390,قائمة حزب المجد
1773,قائمة حركة الشعب
3010,قائمة الحزب الجمهوري
377,قائمة الجبهة الوطنية للإنقاذ
252,قائمة حزب المؤتمر الشعبي
238,قائمة حزب الجبهة الوطنية التونسية
5991,قائمة الجبهة الشعبية
678,قائمة حزب العريضة الشعبية
357,"قائمة حركة الديمقراطية للاصلاحوالبناء"
368,قائمة صفاقسنا
3980,قائمة  حزب التحالف الديمقراطي
281,قائمة أهداف الثورة أولا
547,قائمة حركة الوحدويين  الأحرار
422,قائمة  أجيال التحدي
194,قائمة الوفاء لمشروع الشهيد
235,قائمة اليسر
114,قائمة الأصالة
3371,قائمة صوت صفاقس
3704,"قائمة  حزب المؤتمر من أجلالجمهورية"
1214,قائمة الطليعة الشبابية
6742,قائمة حزب آفاق تونس
5954,قائمة حزب  التيار الديمقراطي
1487,قائمة  حركة وفاء
70081,قائمة حركة نداء تونس
484,قائمة حزب الحركة الدستورية
435,قائمة حزب الثقافة والعمل
232,قائمة حركة الديمقراطيين الاشتراكيين
3589,قائمة حزب الاتحاد الوطني الحر
260,قائمة الحزب الجمهوري المغاربي
263,قائمة حزب قوى 14 جانفي
486,قائمة صوت الريف
731,قائمة حزب الأمان
273,قائمة حزب الوسط الاجتماعي
57994,قائمة حزب حركة النهضة
586,قائمة حزب حركة التونس ي
318,قائمة حزب المستقبل من أجل تونس
772,قائمة تونس العزيزة
2104,قائمة تيار المحبة
380,قائمة تونسنا الغالية
1308,قائمة حزب المبادرة
1356,قائمة حزب التكتل
184997,الأصوات المصرح بها لكل القائمات
