list_total,list
1820,"قائمة حزب المؤتمرمن أجل الجمهورية"
683,قائمة حزب المجد
938,"قائمة حزب آفاقتونس"
993,قائمة حزب حركة وفاء
146,"قائمة اتحاد القوىالشبابية"
1363,قائمة من أجل بلادي
804,"قائمة خدمة للمواطنوفداء للوطن"
7918,قائمة الجبهة الشعبية
203,قائمة تفاحة عربية
107,"قائمة حزب النورللديمقراطية والتنمية"
1328,"قائمة من أجل حياةأفضل"
1074,قائمة حزب المبادرة
668,قائمة وفاق
1254,"قائمة حزب التحالفالديمقراطي"
385,"قائمة حركةالديمقراطيينالاشتراكيين"
11806,قائمة  تيّار المحبّة
491,قائمة الدرب
18990,"قائمة حزب حركةالنهضة"
683,قائمة قائمة الشهيد
782,قائمة الحزب الاشتراكي
355,قائمة غزة
298,"قائمة الوفاء والعزةللوطن"
724,قائمة حزب التكتل
253,قائمة حزب الأمان
421,"قائمة الحركةالدستورية"
252,"قائمة التشغيلاستحقاق"
299,قائمة الميعاد
393,"قائمة القائمةالمستقلة الزيتونة"
283,قائمة الوعد
1941,"قائمة فداء المحبةلتونس"
445,قائمة النور
2250,"قائمةحزب الاتحادالوطني الحر"
710,"قائمة حزب حركةالجمهورية"
210,"قائمة الحركةالديمقراطية للإصلاحوالبناء"
807,"قائمة الحزبالديمقراطي للعدالةوالرخاء"
1175,قائمة حركة التونس ي
520,قائمة تونس أقوى
27399,"قائمة حركة نداءتونس"
622,"قائمة حزب صوتالفلاحين"
197,"قائمة حزب صوتشعب تونس"
435,"قائمة  حزب جبهة  17ديسمبر للتنمية"
2661,"قائمة الوفاء لمشروعالشهيد"
440,قائمة البديل الشبابي
671,قائمة الأمل
576,"قائمة حزب الجبهةالوطنية التونسية"
555,قائمة أبناء الشعب
803,"قائمة حزب التيارالديمقراطي"
131,"قائمة الأديب للتنميةوالعدالة"
2793,"قائمة الجبهة الوطنيةللإنقاذ"
262,قائمة حزب المستقبل
928,قائمة حزب الغد
326,قائمة الشعب يريد
715,قائمة فداء تونس
457,"قائمة الاتحاد منأجل تونس"
121,قائمة لنكن عادلين
226,قائمة تحدي
1618,قائمة حركة الشعب
218,قائمة قائمة المرقوم
