list_total,list
295,قائمة النخلة
1284,قائمة الإرادة
82,قائمة حركة التونس ي
79,قائمة جبهة الأحرار
213,قائمة الجريد
602,قائمة الحزب الجمهوري
209,قائمة حزب آفاق تونس
400,قائمة حركة الشعب
1013,قائمة الصمود
511,قائمة الجبهة الشعبية
1278,قائمة حزب التحالف الديمقراطي
1619,قائمة صوت الجريد
167,قائمة حركة الديمقراطيين الاشتراكيين
267,قائمة حزب التكتل
108,قائمة حركة الشباب الوطني التونس ي
104,قائمة حزب النور للديمقراطية والتنمية
10164,قائمة حزب حركة النهضة
57,قائمة اتحاد الشباب الديمقراطي التونس ي
581,قائمة شمس الجنوب
144,قائمة حزب الثقافة والعمل
101,قائمة الشعب يريد
219,قائمة كلمة حق
4845,قائمة حركة نداء تونس
1183,قائمة الاتحاد من أجل تونس
130,قائمة أمن شامل لإنقاذ تونس
93,قائمة العقل مفتاح التطور والنمو
1729,قائمة حزب الاتحاد الوطني الحر
307,قائمة تونس العزيزة
355,قائمة العمل والأمل
5111,قائمة لمجد الجريد
251,قائمة حزب الأمان
273,قائمة حزب التيار الديمقراطي
826,قائمة حزب المؤتمر من أجل الجمهورية
109,قائمة حزب الغد
190,قائمة تيار المحبة
121,قائمة الحركة الديمقراطية للاصلاح والبناء
299,قائمة أمانة
73,قائمة العين الحمرا
1052,قائمة ولاء
439,قائمة حركة وفاء
