قرقنة,العامرة,منزل شاكر,ئر علي بن خليف,الحنشة,جبنيانة,ساقية الدائر,ساقية الزيت,list
28,30,35,50,32,42,50,56,قائمة الحرية
6,15,21,38,25,63,37,32,قائمة صوت اللجان الثورية
13,42,36,50,23,48,82,310,قائمة الجبهة الوطنية للإنقاذ
9,18,23,36,36,40,47,72,قائمة بقلوب مبصرة نصحح المسار
2003,1650,2611,3443,4078,3398,12487,13194,قائمة  حركة نداء تونس
28,50,88,91,92,81,129,117,قائمة حزب العريضة الشعبية
67,53,109,111,78,148,523,479,قائمة حزب التحالف الديمقراطي
9,13,35,12,13,11,25,51,قائمة الالتزام والانصاف
16,22,16,21,18,15,60,59,قائمة حزب المؤتمر الشعبي
796,315,361,600,413,1503,1230,1195,قائمة  الجبهة الشعبية
14,36,66,68,46,52,74,64,قائمة أنا الشعب
102,51,133,107,86,109,1447,2305,قائمة حزب آفاق تونس
16,42,82,819,57,72,118,86,قائمة  حركة الشعب
10,24,33,47,20,38,70,76,قائمة حركة الديمقراطيين الاشتراكيين
24,337,114,96,184,250,226,183,قائمة حزب المبادرة
15,30,43,79,73,38,362,136,قائمة صوت المواطن
9,26,31,56,31,161,56,45,قائمة حزب المصالحة
2,5,17,10,2,9,23,32,NA
352,21,25,42,48,36,257,80,قائمة حزب العمل التونس ي
9,10,16,19,12,19,32,38,قائمة حزب الانفتاح والوفاء
20,8,39,27,109,27,50,85,قائمة  أجيال التحدي
19,20,20,33,35,46,170,73,قائمة  الشعب يريد
8,22,35,32,45,41,67,90,قائمة حزب الرفاه التونس ي
1100,3478,2759,3914,3574,4365,15036,15383,قائمة حركة النهضة
39,67,250,243,181,166,456,338,قائمة تيار المحبة
18,34,54,180,39,74,262,332,قائمة حزب التكتل
32,23,49,60,46,40,270,196,قائمة حزب الإصلاح والتنمية
3,89,29,16,28,18,29,24,قائمة صدى الجهات
9,11,70,11,8,13,79,84,قائمة حزب الوسط الاجتماعي
10,27,101,124,41,84,44,34,قائمة الحركة الدستورية
77,129,88,181,181,221,945,887,قائمة حزب المؤتمر من أجل الجمهورية
44,17,50,44,310,29,81,70,قائمة حزب المجد
27,34,78,38,66,145,196,307,قائمة  حركة وفاء
15,17,27,63,47,47,52,41,قائمة حركة الوحدويون الأحرار
13,32,42,50,38,39,69,53,قائمة  حركة التونس ي
2,9,24,20,22,113,28,18,قائمة حزب البناء الوطني
119,97,72,99,92,166,1801,2211,قائمة حزب التيار الديمقراطي
147,299,397,252,483,445,597,665,قائمة حزب الاتحاد الوطني الحر
62,16,213,32,129,126,120,179,قائمة حزب الأمان
5,14,12,20,21,15,43,35,قائمة حزب صوت شعب تونس
2,24,27,34,35,29,79,120,قائمة حزب قوى 14 جانفي
69,98,150,79,1420,260,697,654,قائمة الحزب الجمهوري
9,25,28,42,108,196,40,34,قائمة شبابنا ثروة وطموحات
5377,7380,8509,11389,12425,12838,38546,40523,الأصوات المصرح بها لكل القائمات
