عقارب,طينة,صفاقس المدينة,صفاقس الغربية,صفاقس الجنوبية,المحرس,الغريبة,الصخيرة,list
41,83,152,146,79,33,34,19,قائمة حزب العمل التونس ي
25,61,258,279,172,45,19,32,قائمة الاتحاد من أجل تونس
30,15,33,34,44,8,5,19,قائمة اتحاد القوى الشبابية
15,32,91,123,79,31,8,11,قائمة حزب المجد
107,89,172,210,167,210,40,778,قائمة حركة الشعب
78,282,777,820,613,198,28,214,قائمة الحزب الجمهوري
37,28,99,84,63,38,9,19,قائمة الجبهة الوطنية للإنقاذ
26,35,51,50,49,21,10,10,قائمة حزب المؤتمر الشعبي
18,27,31,42,32,23,13,52,قائمة حزب الجبهة الوطنية التونسية
224,589,1949,1812,868,354,47,148,قائمة الجبهة الشعبية
71,121,81,109,138,68,33,57,قائمة حزب العريضة الشعبية
71,30,49,43,64,41,22,37,"قائمة حركة الديمقراطية للاصلاحوالبناء"
19,28,94,89,85,21,11,21,قائمة صفاقسنا
362,309,650,848,1477,116,122,96,قائمة  حزب التحالف الديمقراطي
16,12,42,48,137,14,6,6,قائمة أهداف الثورة أولا
60,55,60,70,67,148,26,61,قائمة حركة الوحدويين  الأحرار
36,44,62,110,101,32,12,25,قائمة  أجيال التحدي
13,23,37,35,37,13,20,16,قائمة الوفاء لمشروع الشهيد
94,18,13,33,34,16,19,8,قائمة اليسر
11,14,37,16,18,8,3,7,قائمة الأصالة
123,238,962,863,1078,58,18,31,قائمة صوت صفاقس
285,288,738,937,871,236,87,262,"قائمة  حزب المؤتمر من أجلالجمهورية"
67,53,66,88,62,47,66,765,قائمة الطليعة الشبابية
155,334,2192,1655,1909,197,59,241,قائمة حزب آفاق تونس
108,327,1912,1666,1685,185,39,32,قائمة حزب  التيار الديمقراطي
87,138,361,326,403,70,34,68,قائمة  حركة وفاء
5420,5486,20498,16818,13589,4434,1232,2604,قائمة حركة نداء تونس
81,150,42,46,47,53,36,29,قائمة حزب الحركة الدستورية
21,18,20,19,13,92,24,228,قائمة حزب الثقافة والعمل
26,59,29,37,35,15,12,19,قائمة حركة الديمقراطيين الاشتراكيين
435,423,658,739,518,368,228,220,قائمة حزب الاتحاد الوطني الحر
23,31,65,41,50,13,7,30,قائمة الحزب الجمهوري المغاربي
27,16,71,61,50,14,6,18,قائمة حزب قوى 14 جانفي
178,33,58,62,64,29,20,42,قائمة صوت الريف
30,30,169,249,196,32,7,18,قائمة حزب الأمان
26,30,72,52,44,18,8,23,قائمة حزب الوسط الاجتماعي
4902,4794,12201,13055,16442,2096,1508,2996,قائمة حزب حركة النهضة
77,59,117,97,106,53,32,45,قائمة حزب حركة التونس ي
21,26,35,24,32,152,12,16,قائمة حزب المستقبل من أجل تونس
39,75,404,110,59,42,10,33,قائمة تونس العزيزة
215,688,249,345,250,117,86,154,قائمة تيار المحبة
34,131,49,61,48,25,10,22,قائمة تونسنا الغالية
141,93,248,286,244,91,96,109,قائمة حزب المبادرة
52,56,392,321,398,96,10,31,قائمة حزب التكتل
13927,15471,46346,42959,42517,9971,4134,9672,الأصوات المصرح بها لكل القائمات
