"سيديحسين","سيديالبشير",جبل الجلود,باب سويقة,باب البحر,الوردية,المدينة,الكبارية,السيجومي,الزهور,الحرائرية,list
62,23,19,16,13,26,17,115,13,28,72,"قائمة اتحاد القوىالشبابية"
345,390,116,492,772,467,340,764,88,406,836,"قائمة حزب آفاقتونس"
73,25,40,38,67,57,54,97,20,39,154,"القائمة الدستوريةالموحدة"
69,26,15,33,69,40,40,80,15,46,81,قائمة حزب المجد
51,7,11,17,14,16,14,39,2,26,85,"قائمة نحب بلادينظيفة"
103,60,30,85,152,75,79,151,22,95,144,"قائمة حزب التحالفالديمقراطي"
49,14,19,13,18,18,20,36,9,48,85,قائمة حزب الأمان
63,15,29,15,23,15,13,56,13,29,64,"قائمة حركةالديمقراطيين"
50,8,22,15,12,13,18,39,7,17,48,"قائمة حزب الانفتاحوالوفاء"
53,23,22,10,16,18,10,129,3,32,40,"قائمة التكافلالاجتماعي"
7420,2952,2349,3676,3723,4175,3042,8775,1887,4850,10494,"قائمة حزب حركةالنهضة"
83,24,26,16,26,62,46,63,12,28,73,"قائمة حركةالديمقراطيين"
73,19,31,30,40,22,19,67,21,38,77,"قائمة حزب الجبهةالوطنية التونسية"
41,20,41,23,16,19,11,27,9,20,49,"قائمة حركة الشبابالوطني التونس ي"
67,19,313,23,26,23,19,71,14,32,73,"قائمة حزب صوتشعب تونس"
68,17,20,18,28,18,20,55,15,33,86,قائمة الحزب الاشتراكي
50,11,17,32,26,9,30,53,11,32,88,"قائمة حزب الإصلاحوالتنمية"
46,11,11,12,23,20,19,43,7,20,45,"قائمة حزب العملالتونس ي"
33,6,19,24,19,14,9,44,18,25,34,"قائمة حزب المؤتمرالشعبي"
99,27,37,16,22,16,24,56,20,36,83,"قائمة حزب الخضرللتقدم"
369,324,156,445,663,533,296,971,106,500,1041,"قائمة حزب التيارالديمقراطي"
65,37,21,13,26,13,21,63,17,28,56,"قائمة حزب البناءالوطني"
171,39,60,51,75,35,42,132,25,74,161,قائمة تيار المحبة
105,148,116,153,372,135,176,258,28,122,183,"قائمة الاتحاد منأجل تونس"
64,28,24,20,21,20,26,64,16,38,75,قائمة الحزب التونس ي
98,29,28,28,62,22,42,147,19,43,103,قائمة حركة الشعب
28,11,7,9,12,5,9,33,5,11,29,"قائمة الحزب الليبراليالتونس ي"
20,11,12,12,13,8,10,19,7,15,24,"قائمة تونس موشللبيع"
53,11,21,19,18,16,10,57,7,28,45,قائمة إرادة الشعب
39,17,20,17,24,15,20,25,16,24,50,قائمة الشعب يريد
5882,3844,2617,5274,10071,4443,4459,8059,1351,5133,9162,"قائمة حركة نداءتونس"
23,10,15,10,10,12,5,21,6,18,40,"قائمة اتحاد الشبابالديمقراطي التونس ي"
17,12,8,8,7,20,9,16,2,11,26,قائمة عزم- توكل- بناء
89,29,45,45,70,40,49,118,25,70,124,"قائمة الائتلافالديمقراطي للعمل"
113,23,34,28,33,43,34,95,18,41,122,"قائمة الحزب الإسلاميالتونس ي"
202,122,85,163,274,179,102,352,41,168,326,"قائمة حزب المؤتمر منأجل الجمهورية"
97,30,17,32,35,29,20,59,17,51,122,قائمة أمل تونس
76,27,14,35,47,19,44,47,11,56,63,قائمة البؤساء
89,62,28,64,93,77,70,119,35,76,155,قائمة حزب التكتل
599,288,195,346,1013,352,342,849,63,399,875,قائمة الجبهة الشعبية
109,30,36,11,37,67,12,161,8,30,63,"قائمة حزب العريضةالشعبية"
327,126,103,158,194,100,119,288,63,220,400,قائمة حزب الوحدة
66,22,19,17,22,14,22,44,12,32,71,"قائمة الحزب الشعبيالتقدمي"
347,148,301,183,309,204,186,461,80,234,445,"قائمة الحزبالجمهوري"
