"الانتخابات التشريعية  2014",,,,,,,,,
"ورقة كشف نتائج دائرة اريانة",,,,,,,,,
"مجموع الأصوات  المصرحبها بالدائرة الانتخابية",توزيع الأصوات  المصرح بها حسب المعتمدية,القائمات المترشحة,,,,,,,
"",قلعة الأندلس,سيدي ثابت,سكرة,رواد,حي التضامن,المنيهلة,أريانة المدينة,,
275,8,13,56,55,59,50,34,قائمة حزب الانفتاح والوفاء,1
302,8,12,56,46,59,80,41,قائمة الحركة الديمقراطية للإصلاح والبناء,2
960,53,52,206,253,100,140,156,قائمة حركة الشعب,3
82 769,2 704,2 317,16 573,12 448,5 599,5 416,37 712,قائمة حركة نداء تونس,4
225,12,13,39,31,47,38,45,قائمة صوت الفنانين,5
323,15,13,63,49,62,59,62,قائمة حزب الجبهة الوطنية التونسية,6
9 144,610,582,1 885,1 195,2 072,1 485,1 315,قائمة حزب الاتحاد الوطني الحر,7
2 424,44,86,533,480,266,222,793,قائمة حزب المؤتمر من أجل الجمهورية,8
186,12,14,50,13,46,36,15,قائمة حزب الغد,9
181,10,10,35,28,51,31,16,قائمة حزب المؤتمر الشعبي,10
175,4,11,26,20,29,29,56,قائمة حزب البناء الوطني,11
4 336,97,120,950,909,494,372,1 394,قائمة حزب التيار الديمقراطي,12
709,41,27,150,126,114,96,155,قائمة حزب النداء الجمهوري,14
301,19,19,52,64,55,38,54,قائمة حزب العمل التونس ي,15
1 050,26,44,218,181,152,143,286,قائمة حركة وفاء,16
532,50,26,75,81,74,77,149,قائمة الحركة الدستورية,17
551,16,17,61,316,57,51,33,قائمة نحو بر الأمان,18
231,12,9,53,48,27,27,55,قائمة ورد أريانة,19
6 266,87,96,1 287,1 230,275,298,2 993,قائمة حزب آفاق تونس,20
4 186,99,75,818,951,375,426,1 442,قائمة الجبهة الشعبية,21
200,13,3,53,31,40,23,37,قائمة الحزب الجمهوري المغاربي,22
100,5,5,18,9,24,24,15,قائمة حزب الإنقاذ,23
133,6,9,26,17,27,34,14,قائمة حركة الربيع العربي,24
142,9,10,23,19,28,22,31,قائمة الحزب الليبرالي التونس ي,25
42 459,1 951,2 223,8 708,8 181,6 901,5 828,8 667,قائمة حزب حركة النهضة,26
262,109,8,22,38,37,22,26,قائمة التوازن,27
671,36,52,105,105,123,177,73,قائمة تيار المحبة,28
310,15,17,58,41,62,58,59,قائمة حزب الإصلاح والتنمية,29
367,25,73,67,46,52,44,60,قائمة  نداء قرطاج,30
258,10,8,91,54,29,31,35,قائمة قائمة الكادحون,31
272,16,8,51,30,58,45,64,قائمة تونس العزيزة,33
1 307,43,58,290,244,80,107,485,قائمة حزب التحالف الديمقراطي,34
195,10,9,42,31,41,28,34,قائمة حزب الشباب الحر,35
108,11,9,17,20,12,19,20,قائمة حزب الصحوة,36
172,8,6,20,60,28,28,22,قائمة صوت المربي,37
187,8,5,41,33,46,32,22,قائمة حزب صوت شعب تونس,38
143,8,5,27,48,26,18,11,قائمة الشعب يريد,39
348,16,7,94,62,44,49,76,قائمة حزب المجد,40
3 111,115,124,609,662,208,210,1 183,قائمة الحزب الجمهوري,41
100,11,3,16,12,19,29,10,قائمة باب الأمل,42
1 068,40,50,245,167,202,205,159,قائمة حزب تونس للجميع,43
216,9,16,33,31,56,43,28,قائمة حزب حركة التونس ي,44
4 270,28,47,696,616,151,121,2 611,قائمة الاتحاد من أجل تونس,45
185,4,13,35,17,35,38,43,قائمة حزب الريادة بالعلم والعمل,46
131,6,8,22,19,20,28,28,قائمة حركة الوحدة الشعبية,47
113,3,0,14,11,28,47,10,قائمة حزب الوسط الاجتماعي,48
359,57,30,58,84,38,32,60,قائمة حزب الأمان,49
1 235,23,42,246,159,165,147,453,قائمة حزب المبادرة,50
397,8,25,38,21,78,186,41,القائمة المستقلة بأريانة القدوة,52
181,7,4,47,28,44,20,31,قائمة حركة الديمقراطيين الاشتراكيين,53
148,4,13,21,13,68,16,13,قائمة اتحاد شباب ديمقراطي تونس ي,54
143,8,3,25,12,55,21,19,قائمة اتحاد القوى الشبابية,55
