"",,,,,الانتخابات التشريعية  2014,,,,,
"",,,,,ورقة كشف نتائج دائرة قابس,,,,,
"",,,,,توزيع الأصوات  المصرح بها حسب المعتمدية,,,,,
"مجموع الأصوات  المصرح بها",,,,,,,,,,
"",,,,,,,,,القائمات المترشحة,
"بالدائرة الانتخابية",منزل الحبيب,مطماطة الجديدة,مطماطة,مارث,قابس الجنوبية قابس الغربية قابس المدينة,غنوش,المطوية,الحامة,,
377,16,20,3,80,35 46 50,28,33,66,قائمة حركة الديمقراطيين الاشتراكيين,1
462,6,17,7,58,139 35 102,24,24,50,قائمة حركة التونس ي,2
360,20,17,5,54,30 24 103,17,31,59,قائمة حزب الغد,3
980,15,12,8,103,178 72 319,10,223,40,قائمة حزب التحالف الديمقراطي,4
5 289,37,198,40,257,1 064 552 1 872,423,344,502,قائمة حزب المؤتمر من أجل الجمهورية,5
181,11,12,1,30,15 18 32,4,25,33,قائمة حـزب اللقاء الدستوري,6
137,1,8,3,33,18 8 25,7,13,21,قائمة حركة الديمقراطيين الاجتماعيين,7
375,6,35,17,38,28 4 24,4,192,27,قائمة حركة البناء المغاربي,8
385,4,13,2,21,8 6 27,11,31,262,قائمة أصحاب الحق,9
235,7,56,1,21,18 10 63,4,28,27,قائمة اتحاد القوى الشبابية,10
969,33,41,20,130,220 78 110,22,87,228,قائمة قابس في القلب,11
310,9,12,3,39,49 26 78,14,39,41,قائمة القطب البيئي بقابس,12
913,25,34,11,160,249 69 168,48,68,81,قائمة النخلة,13
621,35,31,11,100,45 50 68,51,52,178,قائمة المجـــد للـــــوطن,14
384,6,22,8,54,44 105 68,13,22,42,قائمة قابس أولا,15
361,14,15,2,55,42 56 74,44,26,33,قائمة الاتحاد من أجل تونس,16
203,7,30,18,25,17 9 40,8,9,40,قائمة حزب البناء الوطني,17
418,120,14,5,68,37 28 38,19,41,48,قائمة العدل,18
208,6,10,7,109,13 7 23,7,11,15,قائمة الأرض الطيـبة,19
588,25,42,15,117,36 51 89,24,37,153,قائمة حزب المبادرة الوطنية الدستورية,20
327,9,11,5,53,81 21 44,13,34,55,قائمة الضمير,21
1 432,22,20,15,97,204 144 485,8,281,158,قائمة الجبهة الشعبية,22
331,25,9,12,47,17 41 68,14,33,63,قائمة التنمية أولا,23
276,12,6,3,63,16 60 30,9,16,61,قائمة حزب صوت شعب تونس,24
1 262,42,43,13,433,144 78 226,65,92,126,قائمة تيــــار المحــــبة,25
58 152,1 835,1 875,560,7 126,7 582 5 081 10 863,4 909,3 917,14 404,قائمة حزب حــركة النهضة,26
680,26,23,13,119,77 54 100,25,76,167,قائمة حزب التكتل,27
257,10,8,4,27,37 38 33,16,20,64,قائمة اتحاد الشباب الديمقراطي التونس ي,28
303,2,25,5,43,44 24 62,12,34,52,قائمة حزب الأمان,29
19 821,430,552,185,3 414,4 152 1 591 4 351,1 003,2 391,1 752,قائمة حركة نداء تونس,30
290,122,8,4,33,32 15 16,5,31,24,قائمة العمل والتنمية العادلة,31
"",157,,15,,8,,3,,21,,19,,8,,18,,11,,7,,47,,قائمة تيار النزاهة,,32
"",2 186,,35,,25,,5,,79,,433,,145,,567,,25,,774,,98,,قائمة الحزب الجمهوري,,33
"",2 412,,9,,37,,18,,117,,640,,336,,951,,29,,142,,133,,قائمة حزب التيار الديمقراطي,,34
"",832,,12,,28,,5,,134,,220,,98,,155,,48,,30,,102,,قائمة حزب الوحدة,,35
"",333,,16,,8,,3,,47,,45,,61,,54,,29,,13,,57,,قائمة اتحــــاد شبـــاب تونس,,36
"",274,,15,,20,,7,,38,,21,,58,,35,,12,,23,,45,,قائمة الشعب يريد,,37
"",658,,28,,33,,17,,67,,106,,58,,167,,21,,33,,128,,قائمة المستقلون الأحرار,,38
"",707,,11,,18,,5,,50,,188,,77,,208,,36,,65,,49,,قائمة حــركــة وفـــاء,,39
"",587,,150,,18,,2,,33,,35,,24,,36,,4,,186,,99,,قائمة حزب الجبهة الوطنية التونسية,,40
"",6 269,,106,,230,,60,,661,,932,,542,,1 214,,194,,1 212,,1 118,,قائمة حزب الاتحاد الوطني الحر,,41
"",2 555,,30,,34,,19,,1 282,,127,,84,,313,,25,,44,,597,,قائمة حركة الشعب,,42
"",495,,20,,11,,7,,69,,125,,35,,107,,40,,39,,42,,قائمة كلنا قابس,,43
"",282,,13,,9,,1,,35,,54,,21,,67,,6,,11,,65,,قائمة ائتلاف جهة قابس,,44
"",322,,6,,10,,2,,60,,111,,26,,60,,7,,14,,26,,قائمة تونس العزيزة,,45
"",1 052,,7,,12,,6,,57,,221,,164,,296,,159,,51,,79,,قائمة حزب آفاق تونس,,46
"",116 008,,3 411,,3 720,,1 166,,15 757,,17 948,,10 138,,23 899,,7 507,,10 905,,21 557,,الأصوات المصرح بها لكل القائمات,,
