"الانتخابات التشريعية  2014",,,,,,,,,,,
"ورقة كشف نتائج دائرة مدنين",,,,,,,,,,,
"مجموع الأصواتالمصرح بهابالدائرةالانتخابية",توزيع الأصوات  المصرح بها حسب المعتمدية,القائمات المترشحة,,,,,,,,,
"","مدنينالشمالية","مدنينالجنوبية",سيدي مخلوف,جرجيس,جربة ميدون,"جربة حومةالسوق",جربة أجيم,بني خداش,بن قردان,,
426,63,43,56,58,49,55,33,32,37,قائمة من أجل تحقيق سلطة الشعب,1
3 001,419,806,197,289,217,616,59,118,280,قائمة حزب التحالف الديمقراطي,2
387,50,60,42,64,28,41,20,42,40,قائمة حزب العدالة والتنمية,3
1 193,135,87,43,170,167,327,39,181,44,قائمة الحزب الجمهوري,4
430,117,62,31,43,28,42,23,38,46,قائمة حزب الغد,5
3 066,93,127,123,1 422,322,640,68,36,235,قائمة حزب آفاق تونس,6
203,14,15,22,33,23,30,6,7,53,قائمة حزب الانفتاح والوفاء,7
192,14,13,14,20,18,21,7,7,78,قائمة اتحاد الشباب الديمقراطي التونس ي,8
1 617,53,59,33,127,282,883,110,25,45,قائمة حزب التيار الديمقراطي,9
267,23,32,21,33,25,18,15,21,79,قائمة حزب الأمان,10
4 686,254,505,182,2 535,221,278,58,91,562,قائمة حركة الشعب,11
1 443,63,51,58,731,82,326,42,34,56,قائمة الاتحاد من أجل تونس,12
803,96,96,65,119,78,91,47,73,138,قائمة شباب مدنين,13
373,28,24,28,38,37,113,30,25,50,قائمة حزب المجد,14
68 795,9 010,10 898,4 013,8 627,7 912,9 854,3 358,5 021,10 102,قائمة حزب حركة النهضة,15
309,29,25,17,39,41,41,54,21,42,قائمة تونس أقوى,16
204,23,40,9,19,20,22,2,13,56,قائمة الشعب يريد,17
119,4,7,6,15,16,44,7,9,11,"قائمة الربيع العربي لتحقيق السيادةالاقتصادية",18
385,86,51,31,61,33,30,14,32,47,قائمة حزب صوت شعب تونس,19
576,129,130,54,36,58,87,8,24,50,قائمة الوحدة الوطنية المستقلة,20
14 334,1 096,1 219,950,3 186,1 738,3 477,492,608,1 568,قائمة حركة نداء تونس,21
2 788,101,118,30,877,400,696,119,48,399,قائمة الجبهة الشعبية,22
273,20,24,12,23,24,20,26,106,18,قائمة التآلف الوطني,23
901,62,112,48,88,74,107,25,56,329,قائمة حركة وفاء,24
4 392,449,382,223,565,749,808,163,177,876,قائمة حزب الاتحاد الوطني الحر,25
244,67,21,9,30,14,19,7,56,21,قائمة حزب الأصالة,26
249,28,25,50,30,20,24,39,15,18,قائمة حركة الديمقراطيين الاشتراكيين,27
6 305,575,1 158,217,524,1 091,1 746,283,244,467,قائمة حزب المؤتمر من أجل الجمهورية,28
1 736,164,143,138,120,465,238,74,205,192,قائمة حزب المبادرة الوطنية الدستورية,29
2 535,168,636,82,221,43,44,12,33,1 296,قائمة حماة الوطن,30
196,13,45,17,35,17,9,12,13,35,قائمة حركة الدستوريون الأحرار,31
852,29,48,17,422,87,105,86,15,43,قائمة حزب التكتل,32
1 224,129,169,47,160,153,140,19,263,144,قائمة تيار المحبة,33
503,17,29,17,22,82,258,21,18,39,قائمة حزب البناء الوطني,34
125 007,13 621,17 260,6 902,20 782,14 614,21 250,5 378,7 707,17 496,الأصوات المصرح بها لكل القائمات,
