"الانتخابات التشريعية  2014",,,,,,,,,,,,,,,
"ورقة كشف نتائج دائرة المنستير",,,,,,,,,,,,,,,
"مجموع الأصوات  المصرحبها بالدائرة الانتخابية",توزيع الأصوات  المصرح بها حسب المعتمدية,القائمات المترشحة,,,,,,,,,,,,,
"","قصيبةالميدوني","قصرهلال",طبلبة,"صيادة-لمطة-بوحجر",زرمدين,جمال,بني حسان,بنبلة,الوردانين,المنستير,المكنين,الساحلين,البقالطة,,
1 606,88,156,92,102,74,180,34,70,26,461,200,88,35,قائمة تيار المحبّة,1
448,22,48,35,18,23,48,19,16,21,87,73,29,9,قائمة شهداء تونس,2
344,17,43,35,13,15,34,12,21,8,53,58,26,9,والتنمية,3
5 073,227,582,127,409,82,302,60,142,63,1 167,1 720,143,49,قائمة الجبهة الشعبية,4
2 353,157,250,167,110,62,277,32,74,58,646,341,129,50,الديمقراطي,5
485,10,302,14,10,9,14,5,13,7,21,63,13,4,قائمة شمس المحبّة,6
2 021,18,31,20,17,18,57,5,69,113,127,81,1 441,24,الديمقراطي,7
150,11,26,5,6,3,13,3,3,5,13,49,10,3,الاجتماعي,8
6 292,377,601,907,284,71,353,195,125,97,1 250,552,163,1 317,تونس,9
1 167,42,69,36,38,443,65,20,40,22,156,179,45,12,قائمة حركة الشعب,10
286,11,87,7,10,8,47,21,6,5,29,31,21,3,قائمة التقارب,11
374,7,14,11,13,20,19,7,15,15,52,184,12,5,اليمامة,12
1 148,86,113,80,62,51,104,27,43,45,217,221,68,31,قائمة حركة وفاء,13
37 815,2 177,2 984,3 390,1 571,1 635,4 820,849,4 033,1 776,6 885,4 064,2 379,1 252,النهضة,14
392,14,14,15,11,16,32,8,21,12,38,36,171,4,قائمة الانفتاح و الوفاء,15
283,13,18,20,19,6,16,14,17,5,103,40,9,3,قائمة الشعب يريد,16
184,16,10,10,7,6,12,4,21,13,53,22,9,1,قائمة حزب الأمان,17
1 227,252,80,25,47,35,76,6,31,19,410,193,43,10,أجل تونس,18
290,16,15,18,8,10,38,5,14,7,103,40,13,3,المستقل لحركة نور,19
3 164,125,310,264,117,105,336,63,104,56,714,633,294,43,الحر,20
743,33,49,30,38,202,82,14,31,18,99,107,29,11,قائمة حزب التكتل,21
1 073,37,71,69,45,35,95,30,84,47,373,127,43,17,قائمة تصحيح المسار,22
786,32,30,14,14,302,36,9,47,45,88,129,23,17,الدستورية,23
447,17,26,14,17,14,22,50,22,7,46,190,15,7,الشعبية,24
340,22,17,18,13,27,24,9,32,20,83,47,18,10,قائمة حزب المصالحة,25
253,10,13,14,18,17,30,13,13,10,54,47,10,4,قائمة دولة الحق,26
243,12,86,11,2,19,16,3,6,4,25,31,24,4,الدستوري,27
194,12,21,12,5,7,21,3,14,7,36,37,12,7,الديمقراطيين,28
5 007,671,190,187,189,83,608,192,894,119,537,1 094,216,27,قائمة حزب المبادرة,29
428,29,42,36,20,18,56,21,25,21,70,61,18,11,التونس ي,30
104 221,8 798,12 548,6 379,7 028,3 586,11 059,3 052,3 765,3 430,23 803,14 158,4 225,2 390,تونس,31
2 013,107,161,85,111,110,172,43,65,116,476,397,96,74,الجمهوري,32
426,14,12,17,6,18,18,7,237,30,24,27,12,4,الديمقراطية للاصلاح,33
301,13,18,16,10,19,31,9,15,11,32,62,56,9,شعب تونس,34
324,23,31,12,14,11,56,12,19,21,54,47,12,12,قائمة الحزب الاشتراكي,35
1 444,83,102,81,63,58,133,32,49,38,385,336,66,18,أجل الجمهورية,36
183 345,13 599,19 170,12 273,10 465,7 218,19 302,4 888,10 196,6 317,38 770,25 677,9 981,5 489,الأصوات المصرح بها,
