"الانتخابات التشريعية  2014",,,,,,,,,,
"ورقة كشف نتائج دائرة صفاقس 2",,,,,,,,,,
"مجموع الأصواتالمصرح بها بالدائرةالانتخابية",توزيع الأصوات  المصرح بها حسب المعتمدية,القائمات المترشحة,,,,,,,,
"",عقارب,طينة,صفاقس المدينة,صفاقس الغربية,صفاقس الجنوبية,المحرس,الغريبة,الصخيرة,,
587,41,83,152,146,79,33,34,19,قائمة حزب العمل التونس ي,1
891,25,61,258,279,172,45,19,32,قائمة الاتحاد من أجل تونس,2
188,30,15,33,34,44,8,5,19,قائمة اتحاد القوى الشبابية,3
390,15,32,91,123,79,31,8,11,قائمة حزب المجد,4
1 773,107,89,172,210,167,210,40,778,قائمة حركة الشعب,5
3 010,78,282,777,820,613,198,28,214,قائمة الحزب الجمهوري,6
377,37,28,99,84,63,38,9,19,قائمة الجبهة الوطنية للإنقاذ,7
252,26,35,51,50,49,21,10,10,قائمة حزب المؤتمر الشعبي,8
238,18,27,31,42,32,23,13,52,قائمة حزب الجبهة الوطنية التونسية,9
5 991,224,589,1 949,1 812,868,354,47,148,قائمة الجبهة الشعبية,10
678,71,121,81,109,138,68,33,57,قائمة حزب العريضة الشعبية,11
357,71,30,49,43,64,41,22,37,"قائمة حركة الديمقراطية للاصلاحوالبناء",12
368,19,28,94,89,85,21,11,21,قائمة صفاقسنا,13
3 980,362,309,650,848,1 477,116,122,96,قائمة  حزب التحالف الديمقراطي,14
281,16,12,42,48,137,14,6,6,قائمة أهداف الثورة أولا,15
547,60,55,60,70,67,148,26,61,قائمة حركة الوحدويين  الأحرار,16
422,36,44,62,110,101,32,12,25,قائمة  أجيال التحدي,17
194,13,23,37,35,37,13,20,16,قائمة الوفاء لمشروع الشهيد,18
235,94,18,13,33,34,16,19,8,قائمة اليسر,19
114,11,14,37,16,18,8,3,7,قائمة الأصالة,20
3 371,123,238,962,863,1 078,58,18,31,قائمة صوت صفاقس,21
3 704,285,288,738,937,871,236,87,262,"قائمة  حزب المؤتمر من أجلالجمهورية",22
1 214,67,53,66,88,62,47,66,765,قائمة الطليعة الشبابية,23
6 742,155,334,2 192,1 655,1 909,197,59,241,قائمة حزب آفاق تونس,24
5 954,108,327,1 912,1 666,1 685,185,39,32,قائمة حزب  التيار الديمقراطي,25
1 487,87,138,361,326,403,70,34,68,قائمة  حركة وفاء,26
70 081,5 420,5 486,20 498,16 818,13 589,4 434,1 232,2 604,قائمة حركة نداء تونس,27
484,81,150,42,46,47,53,36,29,قائمة حزب الحركة الدستورية,28
435,21,18,20,19,13,92,24,228,قائمة حزب الثقافة والعمل,29
232,26,59,29,37,35,15,12,19,قائمة حركة الديمقراطيين الاشتراكيين,30
3 589,435,423,658,739,518,368,228,220,قائمة حزب الاتحاد الوطني الحر,31
260,23,31,65,41,50,13,7,30,قائمة الحزب الجمهوري المغاربي,32
263,27,16,71,61,50,14,6,18,قائمة حزب قوى 14 جانفي,33
486,178,33,58,62,64,29,20,42,قائمة صوت الريف,34
731,30,30,169,249,196,32,7,18,قائمة حزب الأمان,35
273,26,30,72,52,44,18,8,23,قائمة حزب الوسط الاجتماعي,36
57 994,4 902,4 794,12 201,13 055,16 442,2 096,1 508,2 996,قائمة حزب حركة النهضة,37
586,77,59,117,97,106,53,32,45,قائمة حزب حركة التونس ي,38
318,21,26,35,24,32,152,12,16,قائمة حزب المستقبل من أجل تونس,39
772,39,75,404,110,59,42,10,33,قائمة تونس العزيزة,40
2 104,215,688,249,345,250,117,86,154,قائمة تيار المحبة,41
380,34,131,49,61,48,25,10,22,قائمة تونسنا الغالية,42
1 308,141,93,248,286,244,91,96,109,قائمة حزب المبادرة,43
1 356,52,56,392,321,398,96,10,31,قائمة حزب التكتل,44
184 997,13 927,15 471,46 346,42 959,42 517,9 971,4 134,9 672,الأصوات المصرح بها لكل القائمات,
