"الانتخابات التشريعية  2014",,,,,,,
"ورقة كشف نتائج دائرة توزر",,,,,,,
"المصرح بهابالدائرةالانتخابية",توزيع الأصوات  المصرح بها حسب المعتمدية,القائمات المترشحة,,,,,
"",نفطة,دقاش,حزوة,توزر,تمغزة,,
295,23,129,6,124,13,قائمة النخلة,1
1 284,161,462,5,637,19,قائمة الإرادة,2
82,14,24,6,36,2,قائمة حركة التونس ي,3
79,12,40,2,19,6,قائمة جبهة الأحرار,4
213,19,69,2,119,4,قائمة الجريد,5
602,190,210,19,171,12,قائمة الحزب الجمهوري,6
209,29,70,10,91,9,قائمة حزب آفاق تونس,7
400,45,152,14,179,10,قائمة حركة الشعب,8
1 013,69,59,838,42,5,قائمة الصمود,9
511,57,116,4,315,19,قائمة الجبهة الشعبية,10
1 278,436,407,44,257,134,قائمة حزب التحالف الديمقراطي,11
1 619,45,1 271,7,245,51,قائمة صوت الجريد,12
167,17,69,4,71,6,قائمة حركة الديمقراطيين الاشتراكيين,13
267,65,87,7,26,82,قائمة حزب التكتل,14
108,52,30,2,20,4,قائمة حركة الشباب الوطني التونس ي,15
104,43,31,2,20,8,قائمة حزب النور للديمقراطية والتنمية,17
10 164,2 748,2 178,465,3 816,957,قائمة حزب حركة النهضة,18
57,10,28,2,15,2,قائمة اتحاد الشباب الديمقراطي التونس ي,19
581,21,463,8,87,2,قائمة شمس الجنوب,20
144,21,33,4,84,2,قائمة حزب الثقافة والعمل,21
101,44,25,2,25,5,قائمة الشعب يريد,22
219,17,27,4,165,6,قائمة كلمة حق,23
4 845,1 020,1 226,116,2 270,213,قائمة حركة نداء تونس,24
1 183,896,69,7,99,112,قائمة الاتحاد من أجل تونس,25
130,10,83,2,28,7,قائمة أمن شامل لإنقاذ تونس,26
93,9,17,2,61,4,قائمة العقل مفتاح التطور والنمو,27
1 729,267,555,51,744,112,قائمة حزب الاتحاد الوطني الحر,28
307,22,120,9,139,17,قائمة تونس العزيزة,29
355,40,30,3,276,6,قائمة العمل والأمل,30
5 111,92,262,126,4 532,99,قائمة لمجد الجريد,31
251,11,169,3,53,15,قائمة حزب الأمان,32
273,22,53,4,185,9,قائمة حزب التيار الديمقراطي,33
826,78,473,28,220,27,قائمة حزب المؤتمر من أجل الجمهورية,34
109,10,62,1,26,10,قائمة حزب الغد,35
190,37,59,6,72,16,قائمة تيار المحبة,36
121,8,22,3,80,8,قائمة الحركة الديمقراطية للاصلاح والبناء,38
299,22,42,4,44,187,قائمة أمانة,39
73,14,16,5,32,6,قائمة العين الحمرا,40
1 052,918,26,1,102,5,قائمة ولاء,41
439,291,50,18,73,7,قائمة حركة وفاء,42
