,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,324,,20,,39,,32,,23,,16,,14,,9,,31,,69,,40,,22,,9,,قائمة حزب العمل التونس ي,,10
,533,,21,,87,,38,,42,,21,,25,,19,,45,,79,,89,,50,,17,,قائمة الحركة الدستورية,,11
,945,,27,,128,,169,,64,,46,,47,,38,,49,,129,,82,,134,,32,,قائمة تيـــــــــــــــار المحبة,,12
,669,,35,,86,,91,,78,,53,,41,,25,,36,,91,,53,,53,,27,,قائمة القوى المستقلة ببن عروس,,13
,9 534,,544,,565,,724,,953,,737,,641,,556,,588,,2 106,,827,,509,,784,,قائمة الجبهة الشعبية,,14
,1 808,,87,,332,,208,,116,,97,,131,,112,,94,,177,,144,,223,,87,,قائمة فجر البناء,,15
,5 685,,311,,436,,599,,739,,357,,315,,372,,321,,994,,483,,345,,413,,قائمة الحزب الجمهوري,,16
,217,,10,,24,,34,,12,,9,,14,,9,,37,,14,,23,,29,,2,,قائمة الشباب الموحد لغد أفضل,,17
,261,,8,,33,,29,,7,,6,,9,,12,,69,,24,,29,,26,,9,,قائمة الأغلبية الصامتة,,18
,61 420,,2 670,,5 217,,6 886,,5 553,,3 545,,4 118,,3 259,,3 832,,11 246,,5 897,,6 149,,3 048,,قائمة حزب حركة النهضة,,19
,378,,17,,51,,47,,27,,23,,24,,25,,29,,49,,34,,40,,12,,قائمة حزب الجبهة الوطنية التونسية,,20
,1 443,,84,,160,,150,,127,,61,,118,,62,,81,,252,,163,,110,,75,,قائمة حركة وفاء,,21
