"الانتخابات التشريعية  2014",,,,,,,,
"ورقة كشف نتائج دائرة زغوان",,,,,,,,
"مجموع الأصوات  المصرح بها بالدائرة الانتخابية",توزيع الأصوات  المصرح بها حسب المعتمدية,القائمات المترشحة,,,,,,
"",صواف,زغوان,بئر مشارقة,الناظور,الفحص,الزريبة,,
286,19,67,29,57,71,43,قائمة حزب صوت الفلاحين,1
915,93,164,79,157,378,44,قائمة الحزب الجمهوري,2
120,12,30,13,25,26,14,قائمة اتحاد القوى الشبابية,3
277,21,36,29,26,56,109,قائمة حزب صوت شعب تونس,4
131,1,7,17,85,15,6,قائمة الربيع العربي لتحقيق السيادة الإقتصادية,5
899,52,179,33,349,207,79,قائمة  تونسنا,6
160,10,18,15,28,76,13,قائمة العدل أساس الملك (حركة التونس ي),7
889,60,152,110,125,368,74,قائمة حزب تونس للجميع,8
1 609,84,169,65,571,566,154,قائمة حزب المبادرة,9
164,21,27,19,36,38,23,قائمة تحيا تونس,10
473,52,137,42,73,95,74,قائمة حركة وفاء,11
98,8,17,15,29,21,8,قائمة حركة الثقافة والتنوع,12
154,8,34,14,23,60,15,قائمة التحدي لمستقبل أفضل,13
370,14,145,74,53,47,37,قائمة التحالف الحر,14
425,21,47,19,57,48,233,قائمة شباب زغوان لحزب المستقبل,15
198,20,31,41,32,52,22,قائمة الأمل,16
1 391,60,498,202,166,283,182,قائمة الجبهة الشعبية,17
314,50,43,41,29,125,26,قائمة أولاد زغوان,18
685,39,252,92,102,118,82,قائمة حزب المؤتمر من أجل الجمهورية,19
164,8,24,43,18,59,12,قائمة الجبهة الوطنية للإنقاذ,20
1 200,74,373,70,463,128,92,قائمة حزب آفاق تونس,21
426,20,150,39,54,112,51,قائمة حزب التيار الديمقراطي,22
298,14,47,42,59,105,31,قائمة النسور,23
386,30,93,48,79,89,47,قائمة حزب البناء الوطني,24
285,15,35,18,25,184,8,قائمة حزب الأمان,25
172,16,26,22,53,37,18,قائمة النسري,26
150,15,26,22,36,36,15,قائمة حركة الديمقراطيين الاشتراكيين,27
701,69,261,64,85,139,83,قائمة الحزب الاشتراكي,28
481,18,84,28,36,35,280,قائمة العلم نور,29
311,28,42,17,176,38,10,قائمة  الشعب يريد,30
352,32,120,87,30,65,18,قائمة حزب التكتل,31
167,15,21,15,25,70,21,قائمة النصر,32
423,45,163,37,36,39,103,قائمة حزب التحالف الديمقراطي,33
468,27,71,212,49,67,42,قائمة شباب تونس,34
11 720,722,2 495,1 809,2 175,2 772,1 747,قائمة حزب حركة النهضة,35
442,14,29,286,33,62,18,قائمة اتحاد الشباب الديمقراطي التونس ي,36
535,54,62,63,164,165,27,قائمة الحركة الدستورية,37
321,18,52,122,44,60,25,القائمة المستقلة لولاية زغوان,38
18 216,1 409,5 684,1 564,1 870,4 801,2 888,قائمة حركة نداء تونس,39
212,17,53,49,30,41,22,قائمة نداء قرطاج,40
3 564,269,1 105,579,364,743,504,قائمة حزب الاتحاد الوطني الحر,41
771,89,115,110,121,163,173,قائمة  تيار المحبة,42
293,37,17,19,194,20,6,قائمة أولاد الشعب,43
150,14,15,10,9,18,84,قائمة الصفاء,44
