هبيرة,ملولش,قصور الساف,شربان,سيدي علوان,بومرداس,أولاد شامخ,المهدية,الشابة,السواس ي,الجم,list
17,27,57,27,38,51,18,150,30,52,46,قائمة حزب المجد
79,258,1561,195,804,794,147,5269,1240,226,342,قائمة حزب آفاق تونس
20,17,40,32,42,35,30,41,26,76,38,قائمة التطلع
16,21,61,37,37,20,51,63,22,42,28,"قائمة حزب صوت شعبتونس"
25,82,187,43,31,102,42,440,164,44,99,"قائمة حزب التيارالديمقراطي"
27,24,35,25,15,19,65,41,23,96,35,قائمة حركة التونس ي
86,108,135,56,58,115,65,428,101,125,65,"قائمة حزب المؤتمر منأجل الجمهورية"
25,42,43,52,45,134,38,90,24,515,52,قائمة الفلاح
24,44,632,73,67,51,31,72,132,98,26,قائمة الحركة الدستورية
1042,1147,3048,1807,2483,2378,1146,4064,1213,3745,2792,قائمة حزب حركة النهضة
17,17,44,32,29,15,31,33,14,91,26,"قائمة  تيار صوت الشعبالحر"
16,19,59,26,45,42,27,324,132,38,42,"قائمة الاتحاد من أجلتونس"
60,259,682,122,170,162,97,532,214,255,194,"قائمة حزب الاتحادالوطني الحر"
18,34,54,31,45,35,38,69,81,92,39,قائمة الشعب يريد
11,22,17,18,14,19,19,72,8,29,15,قائمة الإنقاذ
21,8,29,24,25,19,8,38,16,29,31,"قائمة العزم والإرادةوالعمل"
51,161,193,268,80,114,210,814,618,588,118,قائمة الجبهة الشعبية
11,11,20,24,18,17,21,33,8,38,10,قائمة الشباب الديمقراطي
39,68,241,145,72,268,71,469,199,259,320,قائمة الحزب الجمهوري
17,13,49,22,28,23,28,72,25,47,40,قائمة نضال كريم
1037,2712,7169,2782,3499,4189,2048,11896,5061,4862,5193,قائمة حركة نداء تونس
53,72,98,221,68,71,59,168,37,157,114,قائمة تيار المحبة
10,14,16,19,21,21,15,46,9,56,19,قائمة العدالة والتنمية
45,65,193,78,91,88,70,218,244,86,79,قائمة حركة وفاء
14,9,19,10,10,114,6,35,14,13,12,قائمة حزب الأمان
16,19,27,18,14,21,19,115,23,40,15,قائمة العزة لتونس
5,7,22,30,11,15,14,52,9,74,12,"قائمة الحزب الديمقراطيللعدالة والرخاء"
16,36,30,44,29,36,78,121,57,320,44,"قائمة حزب التحالفالديمقراطي"
