هرقلة,مساكن,كندار,سيدي بوعلي,سيدي الهاني,"سوسة سيديعبد الحميد","سوسةالجوهرة",سوسة المدينة,سوسة الرياض,"حمامسوسة",بوفيشة,النفيضة,القلعة الكبرى,"القلعةالصغرى",الزاوية-القصيبة-الثريات,أكودة,list
10,183,11,25,13,40,51,33,33,17,29,56,30,25,18,29,قائمة حركة الإقلاع إلى المستقبل
3,8,3,22,2,18,41,8,27,15,16,29,14,7,7,9,قائمة اتحاد القوى الوطنية
28,249,34,59,34,109,162,98,102,71,90,116,56,186,77,64,قائمة حزب التكتل
6,25,4,7,8,13,20,12,15,14,12,24,5,5,11,4,قائمة الحزب الليبرالي التونس ي
10,74,11,20,18,68,61,32,48,26,32,62,35,27,37,20,قائمة حركة الديمقراطيين الاشتراكين
6,26,10,28,11,17,30,16,19,21,14,21,14,41,23,8,قائمة الحركة الديمقراطية للإصلاح والبناء
10,72,10,12,11,47,56,36,45,41,26,53,26,25,14,29,قائمة تحيا تونس
24,79,26,82,21,29,108,44,193,26,37,53,62,18,38,50,قائمة الحركة الدستورية
11,196,39,23,37,505,200,60,385,50,92,107,54,86,211,75,قائمة تيار المحبة
87,683,54,253,73,307,1646,715,694,787,125,120,5369,473,161,813,قائمة حزب آفاق تونس
4,14,1,2,6,9,14,9,5,10,18,13,12,9,4,7,قائمة حركة الربيع العربي
11,54,12,16,15,31,36,17,23,21,39,41,55,24,17,28,قائمة حزب السيادة الشعب
4,39,4,9,9,21,28,9,36,11,21,34,79,12,20,16,قائمة حزب المستقبل
5,23,8,3,5,53,25,17,34,19,15,20,13,19,11,19,قائمة الرافدة
1823,9556,1239,2965,1490,5032,18883,10373,9896,10683,4011,4955,4286,6039,5019,6354,قائمة حركة نداء تونس
740,11727,1112,1437,736,3189,6077,2983,5497,2242,1883,2941,2979,2751,2186,2340,قائمة حزب حركة النهضة
1,39,14,4,16,22,36,13,109,10,22,53,10,16,18,10,قائمة حزب العمل التونس ي
1,20,2,3,4,24,7,2,10,8,6,20,4,9,3,4,قائمة الأديب للتنمية والعدالة
2,31,9,14,13,100,65,18,195,19,26,34,10,50,42,22,قائمة حزب العريضة الشعبية
2,25,3,8,14,28,98,9,65,10,29,100,5,17,9,5,قائمة حزب حركة التونس ي
2,14,3,8,3,8,12,8,14,6,7,27,10,8,122,5,قائمة الصباح الجديد لتونس
2,21,10,9,6,11,36,5,14,9,17,37,7,5,9,19,قائمة حزب القيم الوطنية
6,43,6,17,5,29,101,52,59,46,24,24,51,36,35,27,قائمة الاتحاد من أجل تونس
11,79,14,28,17,54,70,42,67,29,33,67,29,28,26,27,القائمة البورقيبية
5,33,5,10,11,28,27,20,19,16,22,33,13,23,17,15,قائمة حزب التكتل الشعبي من أجل تونس
5,30,5,7,23,23,24,5,52,6,17,34,23,16,13,11,قائمة حزب العدل والتنمية
1,40,5,5,6,25,23,10,26,4,16,25,8,14,13,5,قائمة باب الأمل
7,45,13,11,24,25,32,21,45,15,38,41,17,13,28,25,قائمة الحزب الاشتراكي
41,225,297,191,47,270,331,172,460,159,610,1597,60,161,122,105,قائمة حزب الاتحاد الوطني الحر
6,395,17,20,18,93,462,201,329,160,96,56,69,111,113,91,قائمة حزب التيار الديمقراطي
18,446,11,421,36,111,341,146,215,160,61,112,69,103,91,117,قائمة الحزب الجمهوري
9,962,18,23,55,93,342,137,413,110,106,137,86,113,97,186,قائمة حزب المؤتمر من أجل الجمهورية
10,62,18,17,20,115,34,16,92,32,27,47,22,17,21,18,قائمة إرادة الشعب
38,442,38,438,18,204,933,346,748,603,90,918,133,205,154,194,قائمة الجبهة الشعبية
1,91,8,1,6,11,20,6,12,6,11,17,11,10,6,8,قائمة الشعب يريد
4,31,19,6,16,28,24,19,39,19,30,28,10,29,10,11,قائمة حزب صوت شعب تونس
4,43,6,6,9,26,39,16,33,15,12,24,17,25,11,9,قائمة حزب الأمان
3,17,5,10,2,7,15,5,21,4,12,16,2,6,11,6,قائمة اتحاد الشباب الديمقراطي التونس ي
4,24,9,10,6,12,38,12,17,19,9,11,9,9,14,9,قائمة الائتلاف المستقل لحركة نور تونس
7,112,6,3,8,52,382,159,134,94,31,43,32,72,35,43,قائمة حزب التحالف الديمقراطي
2,16,2,9,8,9,16,15,32,6,8,19,8,16,8,6,قائمة حضر موت
64,965,168,235,102,570,1080,414,536,1470,215,1090,508,569,190,450,قائمة حزب المبادرة
