قلعة الأندلس,سيدي ثابت,سكرة,رواد,حي التضامن,المنيهلة,أريانة المدينة,list
8,13,56,55,59,50,34,قائمة حزب الانفتاح والوفاء
8,12,56,46,59,80,41,قائمة الحركة الديمقراطية للإصلاح والبناء
53,52,206,253,100,140,156,قائمة حركة الشعب
2704,2317,16573,12448,5599,5416,37712,قائمة حركة نداء تونس
12,13,39,31,47,38,45,قائمة صوت الفنانين
15,13,63,49,62,59,62,قائمة حزب الجبهة الوطنية التونسية
610,582,1885,1195,2072,1485,1315,قائمة حزب الاتحاد الوطني الحر
44,86,533,480,266,222,793,قائمة حزب المؤتمر من أجل الجمهورية
12,14,50,13,46,36,15,قائمة حزب الغد
10,10,35,28,51,31,16,قائمة حزب المؤتمر الشعبي
4,11,26,20,29,29,56,قائمة حزب البناء الوطني
97,120,950,909,494,372,1394,قائمة حزب التيار الديمقراطي
41,27,150,126,114,96,155,قائمة حزب النداء الجمهوري
19,19,52,64,55,38,54,قائمة حزب العمل التونس ي
26,44,218,181,152,143,286,قائمة حركة وفاء
50,26,75,81,74,77,149,قائمة الحركة الدستورية
16,17,61,316,57,51,33,قائمة نحو بر الأمان
12,9,53,48,27,27,55,قائمة ورد أريانة
87,96,1287,1230,275,298,2993,قائمة حزب آفاق تونس
99,75,818,951,375,426,1442,قائمة الجبهة الشعبية
13,3,53,31,40,23,37,قائمة الحزب الجمهوري المغاربي
5,5,18,9,24,24,15,قائمة حزب الإنقاذ
6,9,26,17,27,34,14,قائمة حركة الربيع العربي
9,10,23,19,28,22,31,قائمة الحزب الليبرالي التونس ي
1951,2223,8708,8181,6901,5828,8667,قائمة حزب حركة النهضة
109,8,22,38,37,22,26,قائمة التوازن
36,52,105,105,123,177,73,قائمة تيار المحبة
15,17,58,41,62,58,59,قائمة حزب الإصلاح والتنمية
25,73,67,46,52,44,60,قائمة  نداء قرطاج
10,8,91,54,29,31,35,قائمة قائمة الكادحون
16,8,51,30,58,45,64,قائمة تونس العزيزة
43,58,290,244,80,107,485,قائمة حزب التحالف الديمقراطي
10,9,42,31,41,28,34,قائمة حزب الشباب الحر
11,9,17,20,12,19,20,قائمة حزب الصحوة
8,6,20,60,28,28,22,قائمة صوت المربي
8,5,41,33,46,32,22,قائمة حزب صوت شعب تونس
8,5,27,48,26,18,11,قائمة الشعب يريد
16,7,94,62,44,49,76,قائمة حزب المجد
115,124,609,662,208,210,1183,قائمة الحزب الجمهوري
11,3,16,12,19,29,10,قائمة باب الأمل
40,50,245,167,202,205,159,قائمة حزب تونس للجميع
9,16,33,31,56,43,28,قائمة حزب حركة التونس ي
28,47,696,616,151,121,2611,قائمة الاتحاد من أجل تونس
4,13,35,17,35,38,43,قائمة حزب الريادة بالعلم والعمل
6,8,22,19,20,28,28,قائمة حركة الوحدة الشعبية
3,0,14,11,28,47,10,قائمة حزب الوسط الاجتماعي
57,30,58,84,38,32,60,قائمة حزب الأمان
23,42,246,159,165,147,453,قائمة حزب المبادرة
8,25,38,21,78,186,41,القائمة المستقلة بأريانة القدوة
7,4,47,28,44,20,31,قائمة حركة الديمقراطيين الاشتراكيين
4,13,21,13,68,16,13,قائمة اتحاد شباب ديمقراطي تونس ي
