"قصيبةالميدوني","قصرهلال",طبلبة,"صيادة-لمطة-بوحجر",زرمدين,جمال,بني حسان,بنبلة,الوردانين,المنستير,المكنين,الساحلين,البقالطة,list
88,156,92,102,74,180,34,70,26,461,200,88,35,قائمة تيار المحبّة
22,48,35,18,23,48,19,16,21,87,73,29,9,قائمة شهداء تونس
17,43,35,13,15,34,12,21,8,53,58,26,9,والتنمية
227,582,127,409,82,302,60,142,63,1167,1720,143,49,قائمة الجبهة الشعبية
157,250,167,110,62,277,32,74,58,646,341,129,50,الديمقراطي
10,302,14,10,9,14,5,13,7,21,63,13,4,قائمة شمس المحبّة
18,31,20,17,18,57,5,69,113,127,81,1441,24,الديمقراطي
11,26,5,6,3,13,3,3,5,13,49,10,3,الاجتماعي
377,601,907,284,71,353,195,125,97,1250,552,163,1317,تونس
42,69,36,38,443,65,20,40,22,156,179,45,12,قائمة حركة الشعب
11,87,7,10,8,47,21,6,5,29,31,21,3,قائمة التقارب
7,14,11,13,20,19,7,15,15,52,184,12,5,اليمامة
86,113,80,62,51,104,27,43,45,217,221,68,31,قائمة حركة وفاء
2177,2984,3390,1571,1635,4820,849,4033,1776,6885,4064,2379,1252,النهضة
14,14,15,11,16,32,8,21,12,38,36,171,4,قائمة الانفتاح و الوفاء
13,18,20,19,6,16,14,17,5,103,40,9,3,قائمة الشعب يريد
16,10,10,7,6,12,4,21,13,53,22,9,1,قائمة حزب الأمان
252,80,25,47,35,76,6,31,19,410,193,43,10,أجل تونس
16,15,18,8,10,38,5,14,7,103,40,13,3,المستقل لحركة نور
125,310,264,117,105,336,63,104,56,714,633,294,43,الحر
33,49,30,38,202,82,14,31,18,99,107,29,11,قائمة حزب التكتل
37,71,69,45,35,95,30,84,47,373,127,43,17,قائمة تصحيح المسار
32,30,14,14,302,36,9,47,45,88,129,23,17,الدستورية
17,26,14,17,14,22,50,22,7,46,190,15,7,الشعبية
22,17,18,13,27,24,9,32,20,83,47,18,10,قائمة حزب المصالحة
10,13,14,18,17,30,13,13,10,54,47,10,4,قائمة دولة الحق
12,86,11,2,19,16,3,6,4,25,31,24,4,الدستوري
12,21,12,5,7,21,3,14,7,36,37,12,7,الديمقراطيين
671,190,187,189,83,608,192,894,119,537,1094,216,27,قائمة حزب المبادرة
29,42,36,20,18,56,21,25,21,70,61,18,11,التونس ي
8798,12548,6379,7028,3586,11059,3052,3765,3430,23803,14158,4225,2390,تونس
107,161,85,111,110,172,43,65,116,476,397,96,74,الجمهوري
14,12,17,6,18,18,7,237,30,24,27,12,4,الديمقراطية للاصلاح
13,18,16,10,19,31,9,15,11,32,62,56,9,شعب تونس
23,31,12,14,11,56,12,19,21,54,47,12,12,قائمة الحزب الاشتراكي
83,102,81,63,58,133,32,49,38,385,336,66,18,أجل الجمهورية
