نفطة,دقاش,حزوة,توزر,تمغزة,list
23,129,6,124,13,قائمة النخلة
161,462,5,637,19,قائمة الإرادة
14,24,6,36,2,قائمة حركة التونس ي
12,40,2,19,6,قائمة جبهة الأحرار
19,69,2,119,4,قائمة الجريد
190,210,19,171,12,قائمة الحزب الجمهوري
29,70,10,91,9,قائمة حزب آفاق تونس
45,152,14,179,10,قائمة حركة الشعب
69,59,838,42,5,قائمة الصمود
57,116,4,315,19,قائمة الجبهة الشعبية
436,407,44,257,134,قائمة حزب التحالف الديمقراطي
45,1271,7,245,51,قائمة صوت الجريد
17,69,4,71,6,قائمة حركة الديمقراطيين الاشتراكيين
65,87,7,26,82,قائمة حزب التكتل
52,30,2,20,4,قائمة حركة الشباب الوطني التونس ي
43,31,2,20,8,قائمة حزب النور للديمقراطية والتنمية
2748,2178,465,3816,957,قائمة حزب حركة النهضة
10,28,2,15,2,قائمة اتحاد الشباب الديمقراطي التونس ي
21,463,8,87,2,قائمة شمس الجنوب
21,33,4,84,2,قائمة حزب الثقافة والعمل
44,25,2,25,5,قائمة الشعب يريد
17,27,4,165,6,قائمة كلمة حق
1020,1226,116,2270,213,قائمة حركة نداء تونس
896,69,7,99,112,قائمة الاتحاد من أجل تونس
10,83,2,28,7,قائمة أمن شامل لإنقاذ تونس
9,17,2,61,4,قائمة العقل مفتاح التطور والنمو
267,555,51,744,112,قائمة حزب الاتحاد الوطني الحر
22,120,9,139,17,قائمة تونس العزيزة
40,30,3,276,6,قائمة العمل والأمل
92,262,126,4532,99,قائمة لمجد الجريد
11,169,3,53,15,قائمة حزب الأمان
22,53,4,185,9,قائمة حزب التيار الديمقراطي
78,473,28,220,27,قائمة حزب المؤتمر من أجل الجمهورية
10,62,1,26,10,قائمة حزب الغد
37,59,6,72,16,قائمة تيار المحبة
8,22,3,80,8,قائمة الحركة الديمقراطية للاصلاح والبناء
22,42,4,44,187,قائمة أمانة
14,16,5,32,6,قائمة العين الحمرا
918,26,1,102,5,قائمة ولاء
