list_total,list
275,قائمة حزب الانفتاح والوفاء
302,قائمة الحركة الديمقراطية للإصلاح والبناء
960,قائمة حركة الشعب
82769,قائمة حركة نداء تونس
225,قائمة صوت الفنانين
323,قائمة حزب الجبهة الوطنية التونسية
9144,قائمة حزب الاتحاد الوطني الحر
2424,قائمة حزب المؤتمر من أجل الجمهورية
186,قائمة حزب الغد
181,قائمة حزب المؤتمر الشعبي
175,قائمة حزب البناء الوطني
4336,قائمة حزب التيار الديمقراطي
709,قائمة حزب النداء الجمهوري
301,قائمة حزب العمل التونس ي
1050,قائمة حركة وفاء
532,قائمة الحركة الدستورية
551,قائمة نحو بر الأمان
231,قائمة ورد أريانة
6266,قائمة حزب آفاق تونس
4186,قائمة الجبهة الشعبية
200,قائمة الحزب الجمهوري المغاربي
100,قائمة حزب الإنقاذ
133,قائمة حركة الربيع العربي
142,قائمة الحزب الليبرالي التونس ي
42459,قائمة حزب حركة النهضة
262,قائمة التوازن
671,قائمة تيار المحبة
310,قائمة حزب الإصلاح والتنمية
367,قائمة  نداء قرطاج
258,قائمة قائمة الكادحون
272,قائمة تونس العزيزة
1307,قائمة حزب التحالف الديمقراطي
195,قائمة حزب الشباب الحر
108,قائمة حزب الصحوة
172,قائمة صوت المربي
187,قائمة حزب صوت شعب تونس
143,قائمة الشعب يريد
348,قائمة حزب المجد
3111,قائمة الحزب الجمهوري
100,قائمة باب الأمل
1068,قائمة حزب تونس للجميع
216,قائمة حزب حركة التونس ي
4270,قائمة الاتحاد من أجل تونس
185,قائمة حزب الريادة بالعلم والعمل
131,قائمة حركة الوحدة الشعبية
113,قائمة حزب الوسط الاجتماعي
359,قائمة حزب الأمان
1235,قائمة حزب المبادرة
397,القائمة المستقلة بأريانة القدوة
181,قائمة حركة الديمقراطيين الاشتراكيين
148,قائمة اتحاد شباب ديمقراطي تونس ي
143,قائمة اتحاد القوى الشبابية
