list_total,list
4411,قائمة حزب الاتحاد الوطني الحر
687,قائمة حركة وفاء
384,قائمة حزب الإصلاح والتنمية
467,قائمة حزب التحالف الديمقراطي
16874,قائمة حزب حركة النهضة
174,قائمة حزب الانفتاح والوفاء
299,قائمة الطريق المستقيم
486,قائمة الجبهة الوطنية للإنقاذ
1446,قائمة الحزب الجمهوري
836,قائمة الحركة الدستورية
356,قائمة تونس العزيزة
405,قائمة الإرادة
758,قائمة الفلاح
391,قائمةحزب الجبهة الوطنية التونسية
186,قائمة الطموح والإصلاح
379,قائمة أحرار باجة
80,قائمة اتحاد القوى الشبابية
188,قائمة إرادة الحياة
139,قائمة الشعب يريد
2582,قائمة الجبهة الشعبية
403,قائمة حزب البناء الوطني
298,قائمة حزب المحافظين التونسيين الجدد
30457,قائمة حركة نداء تونس
274,قائمة التحدي
203,قائمة حزب الغد
265,قائمة المستقبل
466,قائمة تيار المحبة
192,قائمة حزب المجد
243,قائمة الحزب الاسلامي التونس ي
546,قائمة حزب تونس للجميع
230,قائمة حركة الديمقراطيين الاشتراكيين
246,قائمة حزب النور للديمقراطية والتنمية
352,قائمة حركة التونس ي
1193,قائمة حزب المؤتمر من أجل الجمهورية
112,قائمة حزب القوة العمالية
1023,قائمة حزب التيار الديمقراطي
132,قائمة المستقلون الأحرار
172,قائمة حزب الخضر للتقدم
1502,قائمة حزب المبادرة
527,قائمة حزب العدالة والتنمية
217,قائمة حزب اللقاء الدستوري
7598,قائمة حركة الشعب
