list_total,list
377,قائمة حركة الديمقراطيين الاشتراكيين
462,قائمة حركة التونس ي
360,قائمة حزب الغد
980,قائمة حزب التحالف الديمقراطي
5289,قائمة حزب المؤتمر من أجل الجمهورية
181,قائمة حـزب اللقاء الدستوري
137,قائمة حركة الديمقراطيين الاجتماعيين
375,قائمة حركة البناء المغاربي
385,قائمة أصحاب الحق
235,قائمة اتحاد القوى الشبابية
969,قائمة قابس في القلب
310,قائمة القطب البيئي بقابس
913,قائمة النخلة
621,قائمة المجـــد للـــــوطن
384,قائمة قابس أولا
361,قائمة الاتحاد من أجل تونس
203,قائمة حزب البناء الوطني
418,قائمة العدل
208,قائمة الأرض الطيـبة
589,قائمة حزب المبادرة الوطنية الدستورية
326,قائمة الضمير
1434,قائمة الجبهة الشعبية
329,قائمة التنمية أولا
276,قائمة حزب صوت شعب تونس
1262,قائمة تيــــار المحــــبة
58152,قائمة حزب حــركة النهضة
680,قائمة حزب التكتل
257,قائمة اتحاد الشباب الديمقراطي التونس ي
303,قائمة حزب الأمان
19821,قائمة حركة نداء تونس
290,قائمة العمل والتنمية العادلة
157,قائمة تيار النزاهة
2186,قائمة الحزب الجمهوري
2412,قائمة حزب التيار الديمقراطي
832,قائمة حزب الوحدة
333,قائمة اتحــــاد شبـــاب تونس
274,قائمة الشعب يريد
658,قائمة المستقلون الأحرار
707,قائمة حــركــة وفـــاء
587,قائمة حزب الجبهة الوطنية التونسية
6269,قائمة حزب الاتحاد الوطني الحر
2555,قائمة حركة الشعب
495,قائمة كلنا قابس
282,قائمة ائتلاف جهة قابس
322,قائمة تونس العزيزة
1052,قائمة حزب آفاق تونس
116008,الأصوات المصرح بها لكل القائمات
