list_total,list
230,"قائمة تونس الخضراء تنميةمستدامة"
743,قائمة حزب آفاق تونس
315,قائمة حزب الغد
1095,قائمة الوئام
2410,قائمة حركة الشعب
177,"قائمة القائمة المستقلة للامركزيةوالتنمية"
710,قائمة حزب التكتل
249,قائمة الوفاء بالعهد
334,قائمة حزب البناء الوطني
188,"قائمة حزب التكتل الشعبي منأجل تونس"
202,قائمة العدالة الجمهورية
202,قائمة حزب صوت شعب تونس
387,قائمة الاتحاد من أجل تونس
213,"قائمة حركة الديمقراطيينالاشتراكيين"
21821,قائمة حركة نداء تونس
854,"قائمة اتحاد الشباب الديمقراطيالتونس ي"
28265,قائمة حزب حركة النهضة
212,قائمة حزب الخضر
288,قائمة الخضراء
470,قائمة حزب اللقاء الدستوري
536,قائمة حزب التحالف الديمقراطي
1011,قائمة أمل قفصة
534,قائمة حزب العريضة الشعبية
5664,قائمة الجبهة الشعبية
704,قائمة الحزب الجمهوري
92,قائمة الحزب الجمهوري المغاربي
318,القائمة المستقلة أبناء الشعب
182,قائمة الشروق
1430,القائمة المستقلة العدالة
2945,قائمة حزب الاتحاد الوطني الحر
232,قائمة حزب الانتماء الديمقراطي
183,قائمة حزب الانفتاح والوفاء
303,"قائمة حزب الجبهة الوطنيةالتونسية"
818,قائمة انشاء الله خير
1068,قائمة إرادة
195,"قائمة الربيع العربي لتحقيقالسيادة الاقتصادية"
234,قائمة الأمانة
890,قائمة حزب التيار الديمقراطي
3526,القائمة المستقلة الإقلاع
188,قائمة حزب الأمان
942,قائمة أمانة وفاء
369,قائمة الصوت الحر
543,قائمة المنارة
143,قائمة الإنجاز والمقاومة
272,قائمة الأمل
330,قائمة قفصة دارنا الكل
318,قائمة الحركة الدستورية
400,قائمة العقد الثوري
329,قائمة حركة وفاء
1763,قائمة صوت الحق
1402,"قائمة حزب المؤتمر من أجلالجمهورية"
610,قائمة القائمة المستقلة النخلة
190,قائمة شباب قفصة
115,قائمة الحقيقة
185,"قائمة حركة الديمقراطينالاجتماعين"
733,قائمة الياسمين
218,قائمة قفصة عراقة وتجديد
104056,الأصوات المصرح بها لكل القائمات
