list_total,list
863,قائمة حزب العدل والتنمية
318,قائمة حزب الكرامة والمساواة
270,"قائمة الربيع العربي لتحقيقالسيادة الاقتصادية"
3125,قائمة  تيار المحبة
847,قائمة الخمسة
319,قائمة حزب تونس للجميع
693,قائمة حزب العدالة والتنمية
1430,"قائمة حزب المؤتمر من أجلالجمهورية"
397,قائمة فرسان الحرية
759,قائمة خير القيروان
300,قائمة البرنامج
1360,"قائمة حزب التحالفالديمقراطي"
857,القائمة البورقيبية
5900,قائمة حزب الاتحاد الوطني الحر
340,"قائمة حركة الشباب الوطنيالتونس ي"
981,قائمة الزيتونة
318,قائمة شباب تونس الخضراء
185,قائمة الوفاء لمشروع الشهيد
702,قائمة حركة الشعب
894,قائمة حزب العريضة الشعبية
496,قائمة الحزب الجمهوري المغاربي
564,قائمة حزب الأمان
522,قائمة حركة التونس ي
1059,قائمة حزب التكتل
2353,قائمة حزب آفاق تونس
255,قائمة الأهل
154,قائمة حركة بديل
204,قائمة حركة مقاومة
1854,قائمة حزب التيار الديمقراطي
642,قائمة  تيار صوت الشعب الحر
433,قائمة باب الأمل
368,قائمة الخمسة الذهبية
701,قائمة أحرار القيروان
841,قائمة الحركة الدستورية
1839,قائمة الحزب الجمهوري
220,"قائمة حزب الأماناتوالاستراتيجيات التنموية"
408,قائمة الاتحاد من أجل تونس
647,قائمة حزب المؤتمر الشعبي
33513,قائمة حركة نداء تونس
687,قائمة حزب الغد
282,قائمة حزب المجد
333,قائمة الشعب يريد
172,"قائمة الحركة الديمقراطيةللإصلاح والبناء"
386,قائمة حزب صوت شعب تونس
984,قائمة الحلم القيرواني
579,قائمة صوت المعاق
380,قائمة حزب الحداثة
4830,قائمة الجبهة الشعبية
700,قائمة العمل
436,قائمة حزب الأصالة
654,قائمة الأمل
156,قائمة مواطنون بلا حدود
405,قائمة الضوء
434,"قائمة اتحاد الشبابالديمقراطي التونس ي"
963,قائمة حركة وفاء
368,قائمة التخطيط والتنمية
