list_total,list
714,قائمة حزب الأمان
566,قائمة شبابنا فخر وعزة
236,قائمة الياسمين
890,"قائمة حزب التيارالديمقراطي"
770,قائمة حركة وفاء
1384,قائمة الحزب الجمهوري
4591,قائمة الجبهة الشعبية
1153,"قائمة الشباب للرقيوالبناء"
534,قائمة نعم نستطيع
694,"قائمة حزب البنا ءالوطني"
2938,"قائمة حزب المؤتمر منأجل الجمهورية"
903,"قائمة المستقلة لدفعالتنمية والتشغيل"
268,"قائمة اتحاد الشبابالديمقراطي التونس ي"
467,قائمة المستقبل
398,قائمة تونس العزيزة
256,"قائمة حزب الأصالةوالتقدم"
272,"قائمة شباب الوسطللعمل والتنمية"
1737,قائمة حركة الشعب
901,قائمة حركة التونس ي
1022,قائمة أمل القصرين
297,"قائمة حزب النورللديمقراطية والتنمية"
362,قائمة أولاد الشعب
896,"قائمة حركةالديمقراطيين الاشتراكيين"
334,"قائمة حزب الإصلاحوالتنمية"
1237,قائمة الوصية
440,"قائمة حزب اللقاءالدستوري"
1027,"قائمة حزب العريضةالشعبية"
554,قائمة نداء قرطاج
23650,قائمة حزب حركة النهضة
1771,قائمة تيار المحبة
404,قائمة حزب الــغد
260,"قائمة الشباب المدنيالحر"
513,قائمة الحرية والإنصاف
277,قائمة التنمية الشاملة
1390,قائمة حزب المبادرة
409,قائمةالبديــــل
1155,"قائمة حركةالديمقراطيين"
683,قائمة بني وطني
353,قائمة رد الاعتبار
291,قائمة المستقلة الأحرار
123,"قائمة اتحاد القوىالشبابية"
1108,قائمة حزب آفاق تونس
151,قائمة أول الغيث
277,قائمة غدا......أفضل
221,قائمة صوت المستقل
1076,"قائمة المستقلة  17ديسمبر"
522,"قائمة المنارة  الشعبيةالاجتماعية"
400,قائمة القــــــرار
285,قائمة العهد
469,قائمة المستقلة الشعانبي
714,قائمة الحزب الاشتراكي
949,"قائمة الاتحاد من أجلتونس"
334,"قائمة حزب التكتلالشعبي من أجل تونس"
466,قائمة صقور الحرية
28362,قائمة حركة نداء تونس
2180,قائمة حزب التكتل
689,قائمة الأمـــــل
208,"قائمة الحركةالديمقراطية للإصلاح"
244,قائمة الشعب يريد
975,قائمة صوت القصرين
282,"قائمة الجبهة الوطنيةللإنقاذ"
876,"قائمة حزب التحالفالديمقراطي"
757,قائمة القصرين أولا
253,"قائمة حركة الشبابالوطني التونس ي"
573,قائمة أحرار القصرين
225,قائمة الذهبية المستقلة
888,قائمة الحركة الدستورية
148,"قائمة الربيع العربيلتحقيق السيادة"
3441,"قائمة حزب الاتحادالوطني الحر"
104193,الأصوات المصرح بها لكل
