list_total,list
550,قائمة حزب العمل التونس ي
261,قائمة حزب الأمان
175,قائمة التآلف
333,قائمة الأحرار
2927,قائمة حزب آفاق تونس
861,قائمة حزب التكتل
306,قائمة حزب الأمانة والعدالة
378,قائمة اتحاد الشباب الديمقراطي التونس ي
273,قائمة حزب الشباب الحر
476,قائمة حزب المجد
426,قائمة نداء قرطاج
132,قائمة وطنـــــي
931,قائمة الائتلاف الديمقراطي للعمل والتنمية
2825,قائمة حزب التيار الديمقراطي
167,قائمة حزب البناء الوطني
259,قائمة الشعب يريد
272,قائمة الوفاق
339,قائمة حزب الزيتونة
175,قائمة الحركة الديمقراطية للإصلاح والبناء
289,قائمة حزب العدل والتنمية
1279,قائمة  حركة الشعب
478,قائمة أمل وعمل
33064,قائمة حزب حركة النهضة
311,القائمة المستقلة لخدمة منوبة
238,قائمة حزب الإصلاح والتنمية
975,قائمة النجاح
151,قائمة السلام والازدهار
305,قائمة الحركة الدستورية
146,قائمة تونس العزيزة
230,قائمة الصمود
356,القائمة المستقلة للعين الساهرة
316,قائمة حزب الجبهة الوطنية التونسية
211,قائمة حركة البناء المغاربي
224,قائمة حزب صوت شعب تونس
161,قائمة حزب المحافظين التونسيين
199,قائمة حزب المؤتمر الشعبي
203,قائمة القلم
220,قائمة المدافعون عن الحق
526,قائمة تونس الغد
346,قائمة الحزب التونس ي
735,قائمة تيار المحبة
154,قائمة المعطلين عن العمل
194,قائمة حركة الديمقراطيين الاشتراكيين
267,والتنمية
1302,قائمة حزب المبادرة
750,القائمة البورقيبية
1515,قائمة حزب المؤتمر من أجل الجمهورية
918,قائمة حركة وفاء
252,قائمة اتحاد القوى الشبابية
882,قائمة حزب التحالف الديمقراطي
1465,قائمة الحزب الجمهوري
187,قائمة حزب النور للديمقراطية والتنمية
679,قائمة الاتحاد من أجل تونس
38009,قائمة حركة نداء تونس
360,قائمة الأمل
2981,قائمة الجبهة الشعبية
301,قائمة المستقبل
207,قائمة متحدون من أجل تونس
9460,قائمة حزب الاتحاد الوطني الحر
112912,الأصوات المصرح بها لكل القائمات
