list_total,list
426,قائمة من أجل تحقيق سلطة الشعب
3001,قائمة حزب التحالف الديمقراطي
387,قائمة حزب العدالة والتنمية
1193,قائمة الحزب الجمهوري
430,قائمة حزب الغد
3066,قائمة حزب آفاق تونس
203,قائمة حزب الانفتاح والوفاء
192,قائمة اتحاد الشباب الديمقراطي التونس ي
1617,قائمة حزب التيار الديمقراطي
267,قائمة حزب الأمان
4686,قائمة حركة الشعب
1443,قائمة الاتحاد من أجل تونس
803,قائمة شباب مدنين
373,قائمة حزب المجد
68795,قائمة حزب حركة النهضة
309,قائمة تونس أقوى
204,قائمة الشعب يريد
119,"قائمة الربيع العربي لتحقيق السيادةالاقتصادية"
385,قائمة حزب صوت شعب تونس
576,قائمة الوحدة الوطنية المستقلة
14334,قائمة حركة نداء تونس
2788,قائمة الجبهة الشعبية
273,قائمة التآلف الوطني
901,قائمة حركة وفاء
4392,قائمة حزب الاتحاد الوطني الحر
244,قائمة حزب الأصالة
249,قائمة حركة الديمقراطيين الاشتراكيين
6305,قائمة حزب المؤتمر من أجل الجمهورية
1739,قائمة حزب المبادرة الوطنية الدستورية
2535,قائمة حماة الوطن
196,قائمة حركة الدستوريون الأحرار
852,قائمة حزب التكتل
1224,قائمة تيار المحبة
503,قائمة حزب البناء الوطني
125010,الأصوات المصرح بها لكل القائمات
