list_total,list
1606,قائمة تيار المحبّة
448,قائمة شهداء تونس
344,والتنمية
5073,قائمة الجبهة الشعبية
2353,الديمقراطي
485,قائمة شمس المحبّة
2021,الديمقراطي
150,الاجتماعي
6292,تونس
1167,قائمة حركة الشعب
286,قائمة التقارب
374,اليمامة
1148,قائمة حركة وفاء
37815,النهضة
392,قائمة الانفتاح و الوفاء
283,قائمة الشعب يريد
184,قائمة حزب الأمان
1227,أجل تونس
290,المستقل لحركة نور
3164,الحر
743,قائمة حزب التكتل
1073,قائمة تصحيح المسار
786,الدستورية
447,الشعبية
340,قائمة حزب المصالحة
253,قائمة دولة الحق
243,الدستوري
194,الديمقراطيين
5007,قائمة حزب المبادرة
428,التونس ي
104221,تونس
2013,الجمهوري
426,الديمقراطية للاصلاح
301,شعب تونس
324,قائمة الحزب الاشتراكي
1444,أجل الجمهورية
183345,الأصوات المصرح بها
