list_total,list
548,قائمة حزب الغد
1822,قائمة الحزب الاشتراكي
360,"قائمة حركة الديمقراطيينالاجتماعيين"
1522,قائمة الحزب الجمهوري
230,قائمة حزب حركة الجمهورية
428,قائمة حركة الديمقراطيين الاشتراكيين
1186,قائمة الاتحاد من أجل تونس
4000,قائمة  الجبهة الشعبية
1824,قائمة حزب التيار الديمقراطي
500,قائمة التآلف الوحدوي الديمقراطي
184,قائمة الحزب الليبرالي التونس ي
1105,قائمة  تيار المحبة
298,قائمة حزب صوت شعب تونس
176,قائمة حزب الجبهة الوطنية التونسية
5917,قائمة حزب الاتحاد الوطني الحر
242,قائمة شباب الوحدة
1639,"قائمة حزب المؤتمر من أجلالجمهورية"
3725,قائمة حزب التحالف الديمقراطي
60247,قائمة حركة نداء تونس
445,قائمة حزب جبهة 17 ديسمبر للتنمية
509,قائمة حزب التكتل
3031,قائمة حزب آفاق تونس
195,قائمة تونس المستقبل
589,قائمة حزب الإصلاح والتنمية
324,قائمة حزب الخضر
186,قائمة حزب العمل التونس ي
1189,قائمة حركة وفاء
23478,قائمة حزب حركة النهضة
856,قائمة حزب المبادرة
130,قائمة  اتحاد القوى الشبابية
117244,الأصوات المصرح بها لكل القائمات
