list_total,list
323,قائمة الحرية
237,قائمة صوت اللجان الثورية
604,قائمة الجبهة الوطنية للإنقاذ
281,قائمة بقلوب مبصرة نصحح المسار
42864,قائمة  حركة نداء تونس
676,قائمة حزب العريضة الشعبية
1568,قائمة حزب التحالف الديمقراطي
169,قائمة الالتزام والانصاف
227,قائمة حزب المؤتمر الشعبي
6413,قائمة  الجبهة الشعبية
420,قائمة أنا الشعب
4340,قائمة حزب آفاق تونس
1292,قائمة  حركة الشعب
318,قائمة حركة الديمقراطيين الاشتراكيين
1414,قائمة حزب المبادرة
776,قائمة صوت المواطن
415,قائمة حزب المصالحة
100,NA
861,قائمة حزب العمل التونس ي
155,قائمة حزب الانفتاح والوفاء
365,قائمة  أجيال التحدي
416,قائمة  الشعب يريد
340,قائمة حزب الرفاه التونس ي
49609,قائمة حركة النهضة
1740,قائمة تيار المحبة
993,قائمة حزب التكتل
716,قائمة حزب الإصلاح والتنمية
236,قائمة صدى الجهات
285,قائمة حزب الوسط الاجتماعي
465,قائمة الحركة الدستورية
2709,قائمة حزب المؤتمر من أجل الجمهورية
645,قائمة حزب المجد
891,قائمة  حركة وفاء
309,قائمة حركة الوحدويون الأحرار
336,قائمة  حركة التونس ي
236,قائمة حزب البناء الوطني
4657,قائمة حزب التيار الديمقراطي
3285,قائمة حزب الاتحاد الوطني الحر
877,قائمة حزب الأمان
165,قائمة حزب صوت شعب تونس
350,قائمة حزب قوى 14 جانفي
3427,قائمة الحزب الجمهوري
482,قائمة شبابنا ثروة وطموحات
136987,الأصوات المصرح بها لكل القائمات
