list_total,list
739,قائمة حزب التحالف الديمقراطي
1013,قائمة حركة الشعب
502,قائمة حزب اللقاء الدستوري
364,قائمة شباب بلادي
673,الجمهورية
552,قائمة حركة وفاء
588,قائمة تيار المحبة
786,قائمة السلام
155,الاجتماعية
497,قائمة حزب صوت شعب تونس
770,قائمة حزب المبادرة
6562,قائمة الجبهة الشعبية
4153,قائمة الحزب الجمهوري
208,قائمة حركة الربيع العربي
218,قائمة حزب الأمان
3362,قائمة حزب الاتحاد الوطني الحر
16618,قائمة حركة نداء تونس
739,قائمة الوعد الصادق
10057,قائمة حزب حركة النهضة
425,قائمة ما يريده الشعب
368,قائمة الأمل في الحياة
163,قائمة الازدهار
286,قائمة التحدي
539,قائمة الحزب الاشتراكي
190,قائمة حزب الإصلاح والتنمية
180,والتنمية
334,قائمة حزب صوت الفلاحين
342,قائمة الحركة الدستورية
1111,قائمة التشغيل والكرامة
352,قائمة حزب آفاق تونس
204,قائمة الأحرار
628,قائمة صوت المستقل
1289,قائمة حزب التكتل
361,قائمة حركة الجمهورية
222,قائمة التشغيل والتنمية
238,قائمة الوفاء لمشروع الشهيد
544,قائمة حزب التيار الديمقراطي
