list_total,list
334,قائمة حزب التيار الديمقراطي
282,قائمة حزب التكتل
22770,قائمة حزب حركة النهضة
2672,قائمة حركة نداء تونس
326,قائمة تونس العزيزة
220,قائمة الجبهة الشعبية
84,قائمة حزب صوت شعب تونس
649,قائمة عدالة وسلام
1284,قائمة حزب الاتحاد الوطني الحر
262,قائمة الحركة الدستورية
389,قائمة حزب المبادرة
141,قائمة الشعب يريد
181,قائمة حزب التحالف الديمقراطي
115,قائمة حزب العدالة والتنمية
77,قائمة حزب الجبهة الوطنية التونسية
400,قائمة أوفياء
221,قائمة الحرية
70,قائمة حزب المجد
1270,قائمة حزب المؤتمر من أجل الجمهورية
280,قائمة حركة الشعب
108,قائمة حزب العمل التونس ي
1000,قائمة الحزب الجمهوري
94,قائمة حركة الديمقراطيين الاشتراكيين
173,قائمة حركة التونس ي
115,قائمة حركة الوحدويين الاحرار
398,قائمة الثبات
121,قائمة الانصاف
232,قائمة حركة وفاء
236,قائمة تيار المحبة
184,قائمة حزب الأمان
122,قائمة حزب البناء الوطني
34810,الأصوات المصرح بها لكل القائمات
