list_total,list
271,"قائمة أمن شامل لإنقاذتونس"
246,قائمة الشعب يريد
249,قائمة حزب البناء الوطني
554,"قائمة حزب الجبهةالوطنية التونسية"
1274,قائمة حركة وفاء
298,قائمة لنا الحق
214,"قائمة تيار صوت الشعبالحر"
280,"قائمة الحزب الجمهوريالمغاربي"
1364,"قائمة حزب التحالفالديمقراطي"
173,"قائمة الربيع العربيلتحقيق السيادة"
137,"قائمة اتحاد الشبابالديمقراطي التونس ي"
270,قائمة حزب العمل التونس ي
112,"قائمة اتحاد القوىالشبابيّة"
1571,قائمة حزب التكتّل
6592,"قائمة حزب الاتحادالوطني الحرّ"
269,"قائمة حركة الديمقراطينالاشتراكيين"
252,قائمة حركة التونس ي
414,القائمة البورقيبية
284,قائمة محيطنا نماء لثروتنا
316,"قائمة حزب الحركةالدستورية"
104,"قائمة حزب النورللديمقراطية والتنمية"
5878,"قائمة حزب التيارالدّيمقراطي"
256,قائمة حزب الأمان
9119,قائمة حزب آفاق تونس
145,"قائمة حزب اللقاءالدستوري"
713,قائمة حزب المجد
6224,قائمة الجبهة الشعبية
505,قائمة حركة الشعب
127,"قائمة الحزب الليبراليالتونس ي"
3029,"قائمة الاتحاد من أجلتونس"
178,"قائمة الحركة الديمقراطيةللإصلاح والبناء"
130,قائمة أبناء الشعب
110,"قائمة حركة الشبابالوطني التونس ي"
2744,"قائمة حزب المؤتمر منأجل الجمهورية"
42250,قائمة حزب حركة النهضة
1173,قائمة حزب تونس للجميع
115045,"قائمة حزب حركة نداءتونس"
248,قائمة حزب الثقافة والعمل
183,قائمة اليد في اليد
687,قائمة تيار المحبة
589,قائمة نداء قرطاج
288,"قائمة حزب صوت شعبتونس"
