list_total,list
286,قائمة حزب صوت الفلاحين
915,قائمة الحزب الجمهوري
120,قائمة اتحاد القوى الشبابية
277,قائمة حزب صوت شعب تونس
131,قائمة الربيع العربي لتحقيق السيادة الإقتصادية
899,قائمة  تونسنا
160,قائمة العدل أساس الملك (حركة التونس ي)
889,قائمة حزب تونس للجميع
1609,قائمة حزب المبادرة
164,قائمة تحيا تونس
473,قائمة حركة وفاء
98,قائمة حركة الثقافة والتنوع
154,قائمة التحدي لمستقبل أفضل
370,قائمة التحالف الحر
425,قائمة شباب زغوان لحزب المستقبل
198,قائمة الأمل
1391,قائمة الجبهة الشعبية
314,قائمة أولاد زغوان
685,قائمة حزب المؤتمر من أجل الجمهورية
164,قائمة الجبهة الوطنية للإنقاذ
1200,قائمة حزب آفاق تونس
426,قائمة حزب التيار الديمقراطي
298,قائمة النسور
386,قائمة حزب البناء الوطني
285,قائمة حزب الأمان
172,قائمة النسري
150,قائمة حركة الديمقراطيين الاشتراكيين
701,قائمة الحزب الاشتراكي
481,قائمة العلم نور
311,قائمة  الشعب يريد
352,قائمة حزب التكتل
167,قائمة النصر
423,قائمة حزب التحالف الديمقراطي
468,قائمة شباب تونس
11720,قائمة حزب حركة النهضة
442,قائمة اتحاد الشباب الديمقراطي التونس ي
535,قائمة الحركة الدستورية
321,القائمة المستقلة لولاية زغوان
18216,قائمة حركة نداء تونس
212,قائمة نداء قرطاج
3564,قائمة حزب الاتحاد الوطني الحر
771,قائمة  تيار المحبة
293,قائمة أولاد الشعب
150,قائمة الصفاء
