مكثر,كسرى,قعفور,"سليانةالشمالية","سليانةالجنوبية",بوعرادة,بورويس,برقو,الكريب,العروسة,الروحية,list
21,24,385,73,49,46,23,40,33,17,28,قائمة حزب التحالف الديمقراطي
49,16,89,109,70,52,33,38,44,14,499,قائمة حركة الشعب
26,24,31,52,37,220,20,26,23,31,12,قائمة حزب اللقاء الدستوري
29,16,26,57,121,32,23,23,13,6,18,قائمة شباب بلادي
31,14,237,51,56,47,80,24,28,75,30,الجمهورية
30,28,42,101,129,41,18,52,48,8,55,قائمة حركة وفاء
52,44,35,67,63,130,21,35,48,40,53,قائمة تيار المحبة
89,48,59,68,64,42,36,38,95,17,230,قائمة السلام
12,10,9,54,20,14,12,10,5,4,5,الاجتماعية
29,26,47,99,113,38,25,38,33,20,29,قائمة حزب صوت شعب تونس
68,42,32,75,77,92,134,22,37,27,164,قائمة حزب المبادرة
487,175,722,1060,715,991,588,344,379,937,164,قائمة الجبهة الشعبية
225,120,267,1233,1321,221,245,254,159,53,55,قائمة الحزب الجمهوري
23,6,19,28,25,53,6,11,4,11,22,قائمة حركة الربيع العربي
23,12,21,51,21,16,17,15,12,8,22,قائمة حزب الأمان
464,242,247,672,408,239,171,290,409,114,106,قائمة حزب الاتحاد الوطني الحر
1338,844,1203,3233,1964,1046,848,1596,2550,488,1508,قائمة حركة نداء تونس
16,17,16,391,127,27,53,17,21,32,22,قائمة الوعد الصادق
1498,543,945,1343,1442,1056,680,479,973,640,458,قائمة حزب حركة النهضة
75,40,42,48,36,41,36,26,32,10,39,قائمة ما يريده الشعب
17,18,184,36,19,13,9,15,33,8,16,قائمة الأمل في الحياة
24,12,14,24,23,20,11,10,13,3,9,قائمة الازدهار
29,6,33,77,42,27,13,16,16,6,21,قائمة التحدي
69,22,37,25,40,29,14,24,27,13,239,قائمة الحزب الاشتراكي
14,7,6,13,21,55,10,34,11,13,6,قائمة حزب الإصلاح والتنمية
18,28,11,43,26,12,11,9,12,5,5,والتنمية
151,11,23,27,19,12,7,15,24,12,33,قائمة حزب صوت الفلاحين
43,25,20,41,55,27,19,16,54,16,26,قائمة الحركة الدستورية
450,75,62,95,101,92,56,40,53,17,70,قائمة التشغيل والكرامة
27,23,26,66,78,46,14,16,28,10,18,قائمة حزب آفاق تونس
22,10,15,24,23,50,13,16,10,4,17,قائمة الأحرار
424,34,11,17,17,36,5,12,9,3,60,قائمة صوت المستقل
831,90,36,104,74,22,17,13,43,3,56,قائمة حزب التكتل
21,33,28,38,72,68,10,56,17,4,14,قائمة حركة الجمهورية
21,12,30,46,27,20,3,30,10,8,15,قائمة التشغيل والتنمية
8,9,134,9,20,7,18,10,13,1,9,قائمة الوفاء لمشروع الشهيد
39,29,31,96,151,50,33,31,43,19,22,قائمة حزب التيار الديمقراطي
