"الانتخابات التشريعية  2014",,,,,,,,,,,
"ورقة كشف نتائج دائرة  باجة",,,,,,,,,,,
"مجموع الأصوات  المصرح بهابالدائرة الانتخابية",توزيع الأصوات  المصرح بها حسب المعتمدية,القائمات المترشحة,,,,,,,,,
"",نفزة,مجاز الباب,قبلاط,عمدون,تيبار,تستور,تبرسق,باجة الشمالية,باجة الجنوبية,,
4 411,300,868,191,165,187,624,379,1 089,608,قائمة حزب الاتحاد الوطني الحر,1
687,98,99,37,60,39,95,47,130,82,قائمة حركة وفاء,2
384,24,172,18,27,11,37,18,58,19,قائمة حزب الإصلاح والتنمية,3
467,71,55,23,34,16,53,22,124,69,قائمة حزب التحالف الديمقراطي,4
16 874,3 025,2 497,331,931,630,1 644,1 221,4 285,2 310,قائمة حزب حركة النهضة,5
174,25,21,8,14,12,23,17,38,16,قائمة حزب الانفتاح والوفاء,6
299,30,22,8,23,23,12,9,51,121,قائمة الطريق المستقيم,7
486,28,28,3,273,2,14,15,82,41,قائمة الجبهة الوطنية للإنقاذ,8
1 446,50,130,21,41,296,121,57,269,461,قائمة الحزب الجمهوري,9
836,110,140,18,21,20,99,33,233,162,قائمة الحركة الدستورية,10
356,87,68,18,35,7,57,23,37,24,قائمة تونس العزيزة,11
405,135,41,16,24,8,28,36,77,40,قائمة الإرادة,12
758,113,107,31,72,29,89,59,163,95,قائمة الفلاح,13
391,51,36,13,31,17,41,21,144,37,قائمةحزب الجبهة الوطنية التونسية,14
186,21,18,8,12,13,9,11,27,67,قائمة الطموح والإصلاح,15
379,32,49,25,19,9,45,25,127,48,قائمة أحرار باجة,17
80,12,8,4,3,4,9,24,11,5,قائمة اتحاد القوى الشبابية,18
188,20,22,9,15,5,17,56,27,17,قائمة إرادة الحياة,19
139,19,17,10,10,10,11,13,38,11,قائمة الشعب يريد,20
2 582,238,295,64,134,52,344,338,717,400,قائمة الجبهة الشعبية,21
403,27,33,9,197,5,29,12,65,26,قائمة حزب البناء الوطني,22
298,38,40,106,34,8,19,8,25,20,قائمة حزب المحافظين التونسيين الجدد,23
30 457,2 196,4 300,515,2 116,1 120,4 134,2 156,8 614,5 306,قائمة حركة نداء تونس,24
274,38,72,15,24,16,36,13,39,21,قائمة التحدي,25
203,29,25,19,20,25,22,13,40,10,قائمة حزب الغد,26
265,27,26,17,24,13,22,17,72,47,قائمة المستقبل,27
466,71,49,37,47,10,89,51,74,38,قائمة تيار المحبة,28
192,21,24,12,12,7,17,9,63,27,قائمة حزب المجد,29
243,23,36,22,16,4,26,47,35,34,قائمة الحزب الاسلامي التونس ي,30
546,73,43,20,54,24,76,38,147,71,قائمة حزب تونس للجميع,31
230,27,15,3,21,8,12,14,57,73,قائمة حركة الديمقراطيين الاشتراكيين,32
246,106,20,7,23,5,44,10,20,11,قائمة حزب النور للديمقراطية والتنمية,33
352,70,47,9,30,10,31,26,70,59,قائمة حركة التونس ي,34
1 193,68,260,59,60,41,124,110,299,172,قائمة حزب المؤتمر من أجل الجمهورية,35
112,19,5,6,14,4,20,13,20,11,قائمة حزب القوة العمالية,36
1 023,34,127,23,27,20,143,48,354,247,قائمة حزب التيار الديمقراطي,38
132,25,10,10,13,4,14,10,30,16,قائمة المستقلون الأحرار,39
172,42,36,6,10,8,20,14,20,16,قائمة حزب الخضر للتقدم,40
1 502,79,220,25,69,36,295,134,367,277,قائمة حزب المبادرة,41
527,131,43,18,50,12,57,28,126,62,قائمة حزب العدالة والتنمية,42
217,63,13,7,17,4,18,7,69,19,قائمة حزب اللقاء الدستوري,43
7 598,6 074,343,46,232,22,186,39,485,171,قائمة حركة الشعب,44
