"الانتخابات التشريعية  2014",,,,,,,,,,,,,
"ورقة كشف نتائج دائرة قفصة",,,,,,,,,,,,,
"الأصواتالمصرح بهابالدائرةالانتخابية",توزيع الأصوات  المصرح بها حسب المعتمدية,القائمات المترشحة,,,,,,,,,,,
"","قفصةالشمالية","قفصةالجنوبية",سيدي عيش,بلخير,أم العرائس,المضيلة,المتلوي,القطار,القصر,السند,الرديف,,
230,13,75,21,7,22,7,12,19,19,25,10,"قائمة تونس الخضراء تنميةمستدامة",1
743,15,338,12,33,49,27,50,24,104,49,42,قائمة حزب آفاق تونس,2
315,62,75,9,9,24,31,10,33,37,21,4,قائمة حزب الغد,3
1 095,7,107,2,86,6,9,6,812,38,20,2,قائمة الوئام,4
2 410,16,460,13,57,154,65,46,171,939,382,107,قائمة حركة الشعب,5
177,9,48,8,6,27,6,9,13,21,20,10,"قائمة القائمة المستقلة للامركزيةوالتنمية",6
710,13,273,10,21,46,7,38,106,99,83,14,قائمة حزب التكتل,7
249,3,68,13,4,8,20,4,8,87,24,10,قائمة الوفاء بالعهد,9
334,117,70,8,4,15,40,7,10,24,26,13,قائمة حزب البناء الوطني,10
188,3,103,5,9,15,5,8,11,16,10,3,"قائمة حزب التكتل الشعبي منأجل تونس",11
202,1,36,1,9,115,2,4,8,9,15,2,قائمة العدالة الجمهورية,12
202,3,85,22,5,8,13,10,14,22,15,5,قائمة حزب صوت شعب تونس,13
387,14,95,12,12,50,3,18,105,38,34,6,قائمة الاتحاد من أجل تونس,14
213,5,92,3,12,15,8,6,10,20,25,17,"قائمة حركة الديمقراطيينالاشتراكيين",15
21 821,1 059,8 760,600,710,1 824,855,2 123,933,2 407,2 288,262,قائمة حركة نداء تونس,16
854,9,177,479,5,14,5,22,5,22,28,88,"قائمة اتحاد الشباب الديمقراطيالتونس ي",17
28 265,819,7 793,826,1 363,2 746,1 613,3 887,1 352,3 383,2 429,2 054,قائمة حزب حركة النهضة,18
212,5,42,4,7,15,81,9,15,15,14,5,قائمة حزب الخضر,20
288,2,35,5,10,108,11,33,11,36,28,9,قائمة الخضراء,21
470,8,72,2,56,178,17,21,23,28,57,8,قائمة حزب اللقاء الدستوري,22
536,15,325,12,5,26,16,34,14,54,29,6,قائمة حزب التحالف الديمقراطي,23
1 011,9,86,10,106,23,13,9,669,48,21,17,قائمة أمل قفصة,24
534,16,97,15,52,39,25,122,34,31,83,20,قائمة حزب العريضة الشعبية,25
5 664,80,1 765,66,47,478,256,204,354,863,713,838,قائمة الجبهة الشعبية,26
704,18,394,13,9,35,23,59,29,79,40,5,قائمة الحزب الجمهوري,27
92,4,15,0,6,3,6,8,6,14,9,21,قائمة الحزب الجمهوري المغاربي,28
318,4,20,3,7,36,10,9,38,22,160,9,القائمة المستقلة أبناء الشعب,29
182,3,117,4,4,11,5,10,3,14,9,2,قائمة الشروق,31
1 430,9,231,85,56,110,77,750,20,55,27,10,القائمة المستقلة العدالة,32
2 945,49,1 164,45,74,290,157,216,72,514,316,48,قائمة حزب الاتحاد الوطني الحر,33
232,4,37,10,12,24,21,76,9,11,19,9,قائمة حزب الانتماء الديمقراطي,34
183,4,75,7,7,19,10,14,10,27,4,6,قائمة حزب الانفتاح والوفاء,35
303,12,65,4,11,15,12,14,25,29,108,8,"قائمة حزب الجبهة الوطنيةالتونسية",36
818,4,71,5,1,386,8,283,15,24,16,5,قائمة انشاء الله خير,37
1 068,41,62,10,7,84,636,65,9,105,44,5,قائمة إرادة,38
195,1,22,2,4,2,73,69,3,13,2,4,"قائمة الربيع العربي لتحقيقالسيادة الاقتصادية",39
234,1,131,11,3,7,1,39,10,11,16,4,قائمة الأمانة,40
890,19,367,13,15,51,98,171,32,58,47,19,قائمة حزب التيار الديمقراطي,42
3 526,12,202,7,12,430,14,2 625,48,130,40,6,القائمة المستقلة الإقلاع,43
188,7,59,7,12,26,6,13,11,24,9,14,قائمة حزب الأمان,44
942,2,19,3,4,861,9,14,3,11,8,8,قائمة أمانة وفاء,45
369,9,120,6,18,27,45,19,11,60,43,11,قائمة الصوت الحر,46
543,12,136,4,55,120,12,5,32,148,18,1,قائمة المنارة,47
143,0,28,2,5,49,13,18,8,9,7,4,قائمة الإنجاز والمقاومة,48
272,12,57,13,8,28,7,16,22,18,84,7,قائمة الأمل,49
330,8,197,6,10,17,8,14,13,24,23,10,قائمة قفصة دارنا الكل,50
318,7,170,32,9,15,5,20,12,29,17,2,قائمة الحركة الدستورية,51
400,5,41,8,18,18,213,20,13,36,24,4,قائمة العقد الثوري,53
329,10,93,1,6,46,10,20,32,77,25,9,قائمة حركة وفاء,54
1 763,7,66,9,4,31,39,1 430,28,14,10,125,قائمة صوت الحق,55
1 402,17,533,14,37,86,42,92,106,241,158,76,"قائمة حزب المؤتمر من أجلالجمهورية",56
610,4,119,36,5,134,6,250,15,18,19,4,قائمة القائمة المستقلة النخلة,57
190,3,102,5,4,14,6,7,11,19,15,4,قائمة شباب قفصة,58
115,4,38,2,8,8,3,13,8,14,15,2,قائمة الحقيقة,59
185,7,63,3,5,7,1,5,6,16,65,7,"قائمة حركة الديمقراطينالاجتماعين",60
733,126,213,48,16,22,112,14,22,90,64,6,قائمة الياسمين,61
218,6,109,6,8,18,6,14,11,11,24,5,قائمة قفصة عراقة وتجديد,62
104 056,2 912,31 426,2 931,3 215,10 262,5 306,13 967,5 908,10 931,9 079,8 119,الأصوات المصرح بها لكل القائمات,
