"الانتخابات التشريعية  2014",,,,,,,,,,,
"ورقة كشف نتائج دائرة جندوبة",,,,,,,,,,,
"مجموع الأصواتالمصرح بها بالدائرةالانتخابية",توزيع الأصوات  المصرح بها حسب المعتمدية,القائمات المترشحة,,,,,,,,,
"",وادي مليز,فرنانة,غار الدماء,عين دراهم,طبرقة,"جندوبةالشمالية",جندوبة,بوسالم,بلطة بوعون,,
2 273,95,274,192,238,208,203,380,313,370,قائمة حزب صوت الفلاحين,1
1 078,30,59,81,52,60,515,227,30,24,قائمة الخضراء أمنا,2
334,14,23,16,35,60,41,128,8,9,قائمة الانطلاق,3
300,27,39,31,27,51,30,41,31,23,قائمة الحزب الشعبي التقدمي,4
399,13,50,25,45,69,44,86,38,29,قائمة الكرامة,5
289,14,31,36,27,38,43,46,23,31,قائمة حرية وكرامة,6
238,12,26,20,25,50,24,24,22,35,قائمة حركة بديل,7
174,4,23,26,21,20,15,45,10,10,قائمة حزب النور للديمقراطية والتنمية,8
407,19,29,149,27,28,70,57,10,18,قائمة لدينا حلم,9
453,29,59,57,41,75,65,72,33,22,قائمة جندوبة أولا,10
377,14,45,28,20,25,18,55,51,121,قائمة فريڨة,11
423,5,20,31,20,33,17,21,222,54,قائمة أولاد بلاد,12
1 803,27,210,66,284,88,167,828,43,90,قائمة الاتحاد من أجل تونس,13
399,11,40,28,89,140,26,29,16,20,قائمة شمس أمل خمير,14
733,54,62,92,121,68,84,103,79,70,"قائمة الائتلاف الديمقراطي للعملوالتنمية",15
34 484,1 824,2 801,4 481,3 425,3 754,3 746,7 437,4 606,2 410,قائمة حركة نداء تونس,16
585,33,43,71,53,78,57,73,54,123,قائمة حزب الجبهة الوطنية التونسية,17
335,10,33,21,24,28,164,22,14,19,قائمة التنمية والعدالة والمساواة,18
312,7,20,138,34,29,21,32,13,18,قائمة آفاق تنموية,19
510,7,24,23,52,306,27,29,17,25,قائمة صدى الشمال,20
379,17,35,38,31,42,70,75,42,29,قائمة الحركة الدستورية,21
461,16,47,76,46,91,33,80,43,29,قائمة حركة وفاء,22
276,4,16,36,30,23,24,113,14,16,قائمة حركة الديمقراطيين الاجتماعيين,23
241,9,26,27,23,30,32,52,26,16,قائمة حركة التونس ي,24
545,18,105,120,43,59,48,85,44,23,قائمة تيار المحبة,25
828,33,113,168,35,55,74,257,52,41,قائمة حزب التحالف الديمقراطي,26
475,25,53,33,46,86,48,88,53,43,قائمة حزب المبادرة,27
225,6,23,17,20,31,55,45,15,13,قائمة حزب المؤتمر الشعبي,28
493,29,71,98,75,52,27,73,39,29,قائمة الشروق,29
1 349,34,92,133,65,108,86,193,501,137,قائمة الحزب الجمهوري,30
383,29,57,40,45,47,44,75,28,18,قائمة عندي أمل,31
591,24,84,54,60,81,68,141,34,45,قائمة حزب الغد,32
1 118,50,39,70,187,97,78,449,90,58,قائمة حزب آفاق تونس,33
461,14,46,42,81,66,59,94,33,26,قائمة الحزب الاشتراكي,34
285,7,34,30,43,36,19,82,13,21,قائمة سوق الأربعاء,35
389,17,61,29,48,44,39,88,35,28,قائمة حركة الديمقراطيين الاشتراكيين,36
1 522,10,24,22,29,1 365,25,14,13,20,قائمة صوت المرجان,37
1 041,17,114,229,130,111,106,215,78,41,قائمة حزب المؤتمر من أجل الجمهورية,38
356,26,21,65,18,34,16,26,108,42,قائمة التضامن من أجل التنمية,39
243,13,23,26,33,23,40,50,10,25,قائمةالحزب الجمهوري المغاربي,40
242,43,26,27,30,32,28,37,5,14,قائمة حزب الأمان,41
158,5,19,14,13,30,21,33,10,13,قائمة حزب المجد,42
257,2,129,21,34,24,13,20,7,7,قائمة حزب البناء الوطني,43
191,12,25,60,15,23,19,19,11,7,قائمة بلاريجيا,44
348,6,42,26,34,48,33,49,55,55,قائمة حزب صوت شعب تونس,45
424,19,57,42,61,67,31,74,34,39,قائمة الشباب,46
19 829,812,1 837,2 126,1 733,3 082,1 894,4 794,2 261,1 290,قائمة حزب حركة النهضة,47
747,27,69,65,67,93,78,166,137,45,قائمة حزب التيار الديمقراطي,48
299,10,29,13,22,23,36,95,30,41,قائمة الخبرة... هي الحل,49
305,13,30,31,26,45,64,53,17,26,قائمة العبور,50
4 084,163,289,536,602,431,339,727,672,325,قائمة حزب الاتحاد الوطني الحر,51
159,28,12,18,22,20,13,32,9,5,"قائمة الربيع العربي لتحقيق السيادةالاقتصادية",52
822,48,107,85,96,106,83,144,82,71,قائمة أحرار جندوبة,53
6 386,380,262,1 120,430,683,513,1 889,842,267,قائمة الجبهة الشعبية,54
1 552,53,79,126,318,156,163,580,49,28,قائمة حركة الشعب,55
1 096,62,76,156,114,103,120,194,150,121,قائمة حزب الوحدة,56
368,17,47,43,48,62,27,64,28,32,قائمة الحرية والتنمية,57
179,7,27,13,30,20,18,30,17,17,"قائمة الأخوة والوفاق لضمان السلموالرقي",58
775,33,89,173,103,162,62,96,32,25,قائمة أمل جندوبة,59
868,14,52,47,100,137,51,119,226,122,قائمة حزب التكتل,60
96 656,4 401,8 298,11 707,9 646,13 036,9 974,21 245,11 578,6 771,الأصوات المصرح بها لكل القائمات,
