"الانتخابات التشريعية  2014",,,,,,,,,,,,,
"ورقة كشف نتائج دائرة القيروان",,,,,,,,,,,,,
"مجموع الأصواتالمصرح بها بالدائرةالانتخابية",توزيع الأصوات  المصرح بها حسب المعتمدية,القائمات المترشحة,,,,,,,,,,,
"",نصر الله,حفوز,حاجب العيون,بوحجلة,الوسلاتية,"القيروانالشمالية","القيروانالجنوبية",العلا,الشراردة,الشبيكة,السبيخة,,
863,43,62,213,75,59,82,86,30,36,70,107,قائمة حزب العدل والتنمية,1
318,27,21,26,40,17,82,35,23,10,13,24,قائمة حزب الكرامة والمساواة,2
270,21,16,18,33,14,22,26,11,16,22,71,"قائمة الربيع العربي لتحقيقالسيادة الاقتصادية",3
3 125,226,151,254,595,99,432,488,111,204,131,434,قائمة  تيار المحبة,4
847,53,45,72,112,51,115,154,23,17,89,116,قائمة الخمسة,5
319,24,20,110,22,11,42,31,11,8,12,28,قائمة حزب تونس للجميع,6
693,49,50,40,57,46,175,134,33,24,22,63,قائمة حزب العدالة والتنمية,7
1 430,56,83,39,200,48,445,316,54,47,58,84,"قائمة حزب المؤتمر من أجلالجمهورية",8
397,20,17,21,150,16,33,39,19,15,42,25,قائمة فرسان الحرية,10
759,52,44,36,73,28,98,254,32,24,58,60,قائمة خير القيروان,11
300,15,12,15,40,43,99,21,13,10,15,17,قائمة البرنامج,12
1 360,59,64,81,386,47,150,387,8,19,70,89,"قائمة حزب التحالفالديمقراطي",13
857,29,55,50,205,26,118,122,35,104,58,55,القائمة البورقيبية,14
5 900,223,1 053,537,192,457,1 440,807,233,89,436,433,قائمة حزب الاتحاد الوطني الحر,15
340,17,31,37,32,28,76,71,14,8,11,15,"قائمة حركة الشباب الوطنيالتونس ي",16
981,224,62,44,90,43,145,74,39,39,118,103,قائمة الزيتونة,17
318,21,40,16,28,14,25,29,48,15,51,31,قائمة شباب تونس الخضراء,18
185,11,11,9,18,55,15,13,9,11,3,30,قائمة الوفاء لمشروع الشهيد,19
702,131,38,112,55,32,71,95,30,26,30,82,قائمة حركة الشعب,20
894,126,83,73,123,80,93,97,29,49,42,99,قائمة حزب العريضة الشعبية,22
496,23,37,47,44,13,48,58,170,12,18,26,قائمة الحزب الجمهوري المغاربي,23
564,38,42,35,41,47,144,81,30,28,31,47,قائمة حزب الأمان,24
522,41,16,23,140,16,51,47,34,87,29,38,قائمة حركة التونس ي,25
1 059,47,81,58,90,86,151,147,42,48,192,117,قائمة حزب التكتل,26
2 353,199,259,109,115,89,732,569,101,10,86,84,قائمة حزب آفاق تونس,27
255,12,20,20,24,15,33,24,61,11,12,23,قائمة الأهل,28
154,10,9,11,24,10,24,19,10,6,10,21,قائمة حركة بديل,29
204,21,12,11,55,10,20,38,5,5,9,18,قائمة حركة مقاومة,30
1 854,60,58,273,78,50,564,503,52,76,49,91,قائمة حزب التيار الديمقراطي,31
648,21,168,23,34,22,27,30,269,8,24,16,قائمة  تيار صوت الشعب الحر,32
433,26,64,26,27,15,47,45,84,24,34,41,قائمة باب الأمل,34
368,116,33,14,25,18,42,30,24,19,22,25,قائمة الخمسة الذهبية,35
701,62,61,39,113,42,91,103,36,38,44,72,قائمة أحرار القيروان,36
841,30,26,102,77,41,296,147,22,15,29,56,قائمة الحركة الدستورية,37
1 839,59,66,56,144,56,433,414,62,222,56,271,قائمة الحزب الجمهوري,38
220,13,8,10,27,11,35,50,10,21,12,23,"قائمة حزب الأماناتوالاستراتيجيات التنموية",39
408,23,15,31,70,19,48,102,18,16,26,40,قائمة الاتحاد من أجل تونس,40
647,23,32,33,28,27,44,32,370,14,15,29,قائمة حزب المؤتمر الشعبي,41
33 513,1 745,2 934,2 741,2 522,3 110,6 304,5 725,1 586,1 117,1 561,4 168,قائمة حركة نداء تونس,42
687,27,39,322,26,60,47,38,22,11,49,46,قائمة حزب الغد,43
282,11,21,18,20,17,36,42,60,15,14,28,قائمة حزب المجد,44
333,11,7,14,24,10,118,106,6,17,9,11,قائمة الشعب يريد,46
172,7,13,17,7,10,58,32,7,3,9,9,"قائمة الحركة الديمقراطيةللإصلاح والبناء",47
386,12,32,14,86,39,45,59,22,11,17,49,قائمة حزب صوت شعب تونس,48
984,145,53,60,98,67,130,102,47,105,53,124,قائمة الحلم القيرواني,49
579,35,31,40,39,20,169,144,15,32,25,29,قائمة صوت المعاق,50
380,39,47,21,93,12,16,16,18,77,20,21,قائمة حزب الحداثة,51
4 830,1 247,295,397,287,483,571,627,96,286,340,201,قائمة الجبهة الشعبية,52
700,52,212,53,47,56,61,38,54,32,33,62,قائمة العمل,53
436,26,29,25,162,18,35,74,14,17,10,26,قائمة حزب الأصالة,54
654,40,57,50,95,48,46,48,40,159,25,46,قائمة الأمل,55
156,8,11,18,16,12,48,19,10,0,3,11,قائمة مواطنون بلا حدود,56
405,21,36,98,31,37,34,35,30,14,21,48,قائمة الضوء,58
434,12,61,202,42,19,21,39,10,2,9,17,"قائمة اتحاد الشبابالديمقراطي التونس ي",59
963,79,85,75,41,102,148,164,74,37,56,102,قائمة حركة وفاء,60
368,21,37,32,24,35,65,57,28,13,19,37,قائمة التخطيط والتنمية,61
