"",ورقة كشف نتائج دائرة نابل1,,,,,,,,,,,,,,,,,,,,,,,
"","مجموع الأصوات  المصرحبها بالدائرة الانتخابية",,توزيع الأصوات  المصرح بها حسب المعتمدية,,القائمات المترشحة,,,,,,,,,,,,,,,,,,,
"",,,نابل,,منزل تميم,,قليبية,,قربة,,دار شعبان,,حمام الاغزاز,,بني خيار,,الهوارية,,الميدة,,,,,
"",1 332,,125,,122,,269,,302,,161,,39,,142,,118,,54,,قائمة حزب التكتل,,1,
"",1 565,,210,,146,,266,,162,,231,,92,,166,,236,,56,,التحالف الديمقراطي,,2,
"",559,,45,,112,,38,,67,,39,,13,,37,,48,,160,,الجبهة الوطنية التونسية,,3,
"",1 479,,292,,156,,169,,359,,173,,47,,142,,92,,49,,حزب المؤتمر من أجل الجمهورية,,4,
"",289,,28,,39,,15,,77,,18,,13,,29,,36,,34,,حركة الشباب الوطني التونس ي,,5,
"",261,,26,,33,,41,,37,,18,,15,,16,,62,,13,,الدخلة للعمل والعدالة و التنمية,,6,
"",430,,46,,84,,162,,36,,33,,10,,7,,28,,24,,أتحاد ألشباب دمقراطي التونس ي,,7,
"",584,,116,,60,,61,,145,,67,,15,,49,,40,,31,,الإتحاد من أجل تونس,,8,
"",252,,25,,37,,55,,34,,21,,17,,20,,22,,21,,حزب الريادة,,9,
"",939,,288,,100,,65,,169,,88,,13,,77,,71,,68,,تونس العزيزة,,10,
"",805,,116,,109,,77,,182,,62,,26,,83,,83,,67,,حركة بديل,,11,
"",414,,44,,40,,79,,36,,40,,16,,32,,90,,37,,أمل تونس,,12,
"",659,,54,,90,,59,,78,,45,,27,,37,,200,,69,,قائمة الحزب الإشتراكي,,13,
"",377,,92,,60,,30,,43,,65,,13,,37,,11,,26,,قائمة حزب المجد,,14,
"",7 045,,963,,808,,979,,1 747,,874,,215,,736,,526,,197,,الإتحاد الوطني الحر,,15,
"",311,,33,,53,,67,,43,,23,,10,,18,,50,,14,,تميّــــــــــــــــز,,16,
"",830,,167,,122,,109,,116,,78,,31,,77,,66,,64,,تيار المحبة,,17,
"",205,,29,,28,,21,,53,,19,,5,,13,,17,,20,,الحزب الليبرالي التونس ي,,18,
"",300,,46,,56,,23,,39,,46,,10,,29,,37,,14,,جبهة 17ديسمبر للتنمية,,19,
"",73 739,,18 928,,8 305,,9 712,,9 118,,8 087,,2 321,,8 370,,5 889,,3 009,,حركة نداء تونس,,20,
"",7 135,,1 733,,625,,998,,907,,1 069,,109,,656,,240,,798,,افاق تونس,,21,
"",1 271,,173,,173,,192,,209,,146,,35,,124,,143,,76,,حركة وفاء,,22,
"",1 089,,522,,102,,57,,86,,167,,14,,62,,46,,33,,صوت شعب تونس,,23,
"",320,,51,,60,,36,,43,,28,,8,,28,,37,,29,,التحدي,,24,
"",2 408,,403,,255,,275,,327,,267,,66,,604,,153,,58,,الحزب الجمهوري,,25,
"",457,,50,,29,,118,,98,,14,,76,,26,,36,,10,,اللقاء الدستوري,,26,
297,37,97,25,35,14,8,27,32,22,قائمة الحركة الدستورية,27
550,90,72,52,102,55,25,46,73,35,حزب حركة الجمهورية,28
996,132,115,83,105,90,247,65,116,43,حركة الشعب,29
426,58,60,53,69,49,13,40,43,41,حركة الديمقراطيين الإشتراكيين,30
29 368,4 959,3 290,3 217,4 678,4 555,1 260,4 210,1 901,1 298,حركة النهضة,31
6 048,754,1 986,846,408,400,278,375,694,307,الجبهة الشعبية,32
2 989,602,445,285,378,584,56,453,125,61,التيَار الديموقراطى,33
218,36,39,16,29,41,8,10,27,12,الشعب يريد,34
1 371,395,105,85,121,122,27,95,369,52,حزب المبادرة,35
362,72,45,38,50,37,10,41,35,34,سامي بالحاج,36
147 680,31 740,18 058,18 673,20 488,17 826,5 188,16 979,11 792,6 936,الأصوات المصرح بها لكل القائمات,
