"الانتخابات التشريعية  2014",,,,,,,,,,
"ورقة كشف نتائج دائرة صفاقس 1",,,,,,,,,,
"مجموع الأصواتالمصرح بهابالدائرة",توزيع الأصوات  المصرح بها حسب المعتمدية,القائمات المترشحة,,,,,,,,
"",قرقنة,العامرة,منزل شاكر,ئر علي بن خليف,الحنشة,جبنيانة,ساقية الدائر,ساقية الزيت,,
323,28,30,35,50,32,42,50,56,قائمة الحرية,1
237,6,15,21,38,25,63,37,32,قائمة صوت اللجان الثورية,2
604,13,42,36,50,23,48,82,310,قائمة الجبهة الوطنية للإنقاذ,3
281,9,18,23,36,36,40,47,72,قائمة بقلوب مبصرة نصحح المسار,4
42 864,2 003,1 650,2 611,3 443,4 078,3 398,12 487,13 194,قائمة  حركة نداء تونس,5
676,28,50,88,91,92,81,129,117,قائمة حزب العريضة الشعبية,6
1 568,67,53,109,111,78,148,523,479,قائمة حزب التحالف الديمقراطي,7
169,9,13,35,12,13,11,25,51,قائمة الالتزام والانصاف,8
227,16,22,16,21,18,15,60,59,قائمة حزب المؤتمر الشعبي,9
6 413,796,315,361,600,413,1 503,1 230,1 195,قائمة  الجبهة الشعبية,10
420,14,36,66,68,46,52,74,64,قائمة أنا الشعب,11
4 340,102,51,133,107,86,109,1 447,2 305,قائمة حزب آفاق تونس,12
1 292,16,42,82,819,57,72,118,86,قائمة  حركة الشعب,13
318,10,24,33,47,20,38,70,76,قائمة حركة الديمقراطيين الاشتراكيين,14
1 414,24,337,114,96,184,250,226,183,قائمة حزب المبادرة,15
776,15,30,43,79,73,38,362,136,قائمة صوت المواطن,16
415,9,26,31,56,31,161,56,45,قائمة حزب المصالحة,17
100,2,5,17,10,2,9,23,32,,18
861,352,21,25,42,48,36,257,80,قائمة حزب العمل التونس ي,19
155,9,10,16,19,12,19,32,38,قائمة حزب الانفتاح والوفاء,20
365,20,8,39,27,109,27,50,85,قائمة  أجيال التحدي,21
416,19,20,20,33,35,46,170,73,قائمة  الشعب يريد,22
340,8,22,35,32,45,41,67,90,قائمة حزب الرفاه التونس ي,23
49 609,1 100,3 478,2 759,3 914,3 574,4 365,15 036,15 383,قائمة حركة النهضة,24
1 740,39,67,250,243,181,166,456,338,قائمة تيار المحبة,25
993,18,34,54,180,39,74,262,332,قائمة حزب التكتل,26
716,32,23,49,60,46,40,270,196,قائمة حزب الإصلاح والتنمية,27
236,3,89,29,16,28,18,29,24,قائمة صدى الجهات,28
285,9,11,70,11,8,13,79,84,قائمة حزب الوسط الاجتماعي,29
465,10,27,101,124,41,84,44,34,قائمة الحركة الدستورية,30
2 709,77,129,88,181,181,221,945,887,قائمة حزب المؤتمر من أجل الجمهورية,31
645,44,17,50,44,310,29,81,70,قائمة حزب المجد,32
891,27,34,78,38,66,145,196,307,قائمة  حركة وفاء,33
309,15,17,27,63,47,47,52,41,قائمة حركة الوحدويون الأحرار,34
336,13,32,42,50,38,39,69,53,قائمة  حركة التونس ي,35
236,2,9,24,20,22,113,28,18,قائمة حزب البناء الوطني,36
4 657,119,97,72,99,92,166,1 801,2 211,قائمة حزب التيار الديمقراطي,37
3 285,147,299,397,252,483,445,597,665,قائمة حزب الاتحاد الوطني الحر,38
877,62,16,213,32,129,126,120,179,قائمة حزب الأمان,39
165,5,14,12,20,21,15,43,35,قائمة حزب صوت شعب تونس,40
350,2,24,27,34,35,29,79,120,قائمة حزب قوى 14 جانفي,41
3 427,69,98,150,79,1 420,260,697,654,قائمة الحزب الجمهوري,42
482,9,25,28,42,108,196,40,34,قائمة شبابنا ثروة وطموحات,43
136 987,5 377,7 380,8 509,11 389,12 425,12 838,38 546,40 523,الأصوات المصرح بها لكل القائمات,
