"الانتخابات التشريعية  2014",,,,,,,,,,,,,
"ورقة كشف نتائج دائرة المهدية",,,,,,,,,,,,,
"مجموع الأصوات  المصرح بهابالدائرة الانتخابية",توزيع الأصوات  المصرح بها حسب المعتمدية,القائمات المترشحة,,,,,,,,,,,
"",هبيرة,ملولش,قصور الساف,شربان,سيدي علوان,بومرداس,أولاد شامخ,المهدية,الشابة,السواس ي,الجم,,
513,17,27,57,27,38,51,18,150,30,52,46,قائمة حزب المجد,1
10 915,79,258,1 561,195,804,794,147,5 269,1 240,226,342,قائمة حزب آفاق تونس,2
397,20,17,40,32,42,35,30,41,26,76,38,قائمة التطلع,3
398,16,21,61,37,37,20,51,63,22,42,28,"قائمة حزب صوت شعبتونس",4
1 259,25,82,187,43,31,102,42,440,164,44,99,"قائمة حزب التيارالديمقراطي",5
405,27,24,35,25,15,19,65,41,23,96,35,قائمة حركة التونس ي,6
1 342,86,108,135,56,58,115,65,428,101,125,65,"قائمة حزب المؤتمر منأجل الجمهورية",7
1 060,25,42,43,52,45,134,38,90,24,515,52,قائمة الفلاح,8
1 250,24,44,632,73,67,51,31,72,132,98,26,قائمة الحركة الدستورية,10
24 865,1 042,1 147,3 048,1 807,2 483,2 378,1 146,4 064,1 213,3 745,2 792,قائمة حزب حركة النهضة,11
349,17,17,44,32,29,15,31,33,14,91,26,"قائمة  تيار صوت الشعبالحر",12
770,16,19,59,26,45,42,27,324,132,38,42,"قائمة الاتحاد من أجلتونس",13
2 747,60,259,682,122,170,162,97,532,214,255,194,"قائمة حزب الاتحادالوطني الحر",14
536,18,34,54,31,45,35,38,69,81,92,39,قائمة الشعب يريد,15
244,11,22,17,18,14,19,19,72,8,29,15,قائمة الإنقاذ,16
248,21,8,29,24,25,19,8,38,16,29,31,"قائمة العزم والإرادةوالعمل",17
3 215,51,161,193,268,80,114,210,814,618,588,118,قائمة الجبهة الشعبية,18
211,11,11,20,24,18,17,21,33,8,38,10,قائمة الشباب الديمقراطي,19
2 151,39,68,241,145,72,268,71,469,199,259,320,قائمة الحزب الجمهوري,20
364,17,13,49,22,28,23,28,72,25,47,40,قائمة نضال كريم,22
50 448,1 037,2 712,7 169,2 782,3 499,4 189,2 048,11 896,5 061,4 862,5 193,قائمة حركة نداء تونس,23
1 118,53,72,98,221,68,71,59,168,37,157,114,قائمة تيار المحبة,24
246,10,14,16,19,21,21,15,46,9,56,19,قائمة العدالة والتنمية,25
1 257,45,65,193,78,91,88,70,218,244,86,79,قائمة حركة وفاء,26
256,14,9,19,10,10,114,6,35,14,13,12,قائمة حزب الأمان,27
327,16,19,27,18,14,21,19,115,23,40,15,قائمة العزة لتونس,28
251,5,7,22,30,11,15,14,52,9,74,12,"قائمة الحزب الديمقراطيللعدالة والرخاء",29
811,16,36,30,44,29,36,78,121,57,320,44,"قائمة حزب التحالفالديمقراطي",30
651,34,30,38,71,39,63,61,99,36,137,43,"قائمة الرفاهة (حزبالرفاه التونس ي)",31
