"الانتخابات التشريعية  2014",,,,,,,,,
"ورقة كشف نتائج دائرة نابل2",,,,,,,,,
"مجموع الأصوات  المصرحبها بالدائرة الانتخابية",توزيع الأصوات  المصرح بها حسب المعتمدية,القائمات المترشحة,,,,,,,
"",منزل بوزلفة,قرمبالية,سليمان,تاكلسة,بوعرقوب,بني خلاد,الحمامات,,
548,56,127,63,46,65,74,117,قائمة حزب الغد,1
1 822,151,124,269,948,64,80,186,قائمة الحزب الاشتراكي,2
360,19,60,19,22,27,31,182,"قائمة حركة الديمقراطيينالاجتماعيين",3
1 522,140,241,206,50,151,140,594,قائمة الحزب الجمهوري,4
230,24,56,30,9,24,31,56,قائمة حزب حركة الجمهورية,5
428,28,59,34,18,212,29,48,قائمة حركة الديمقراطيين الاشتراكيين,6
1 186,65,74,778,65,43,45,116,قائمة الاتحاد من أجل تونس,7
4 000,363,841,855,481,347,350,763,قائمة  الجبهة الشعبية,8
1 824,185,342,457,59,106,194,481,قائمة حزب التيار الديمقراطي,9
500,56,83,64,46,59,55,137,قائمة التآلف الوحدوي الديمقراطي,10
184,21,42,28,11,18,26,38,قائمة الحزب الليبرالي التونس ي,11
1 105,101,172,106,83,118,121,404,قائمة  تيار المحبة,12
298,28,42,20,9,31,40,128,قائمة حزب صوت شعب تونس,13
176,17,44,26,10,20,22,37,قائمة حزب الجبهة الوطنية التونسية,14
5 917,593,1 280,879,255,707,833,1 370,قائمة حزب الاتحاد الوطني الحر,15
242,27,43,26,19,20,70,37,قائمة شباب الوحدة,17
1 639,82,624,150,61,104,256,362,"قائمة حزب المؤتمر من أجلالجمهورية",18
3 725,333,1 629,304,66,467,459,467,قائمة حزب التحالف الديمقراطي,19
60 247,8 163,10 219,7 527,3 966,5 110,6 929,18 333,قائمة حركة نداء تونس,20
445,35,247,32,20,38,25,48,قائمة حزب جبهة 17 ديسمبر للتنمية,21
509,111,78,40,24,51,50,155,قائمة حزب التكتل,22
3 031,254,390,324,61,148,202,1 652,قائمة حزب آفاق تونس,23
195,24,63,14,12,22,21,39,قائمة تونس المستقبل,24
589,54,88,60,51,57,53,226,قائمة حزب الإصلاح والتنمية,25
324,38,58,36,25,51,44,72,قائمة حزب الخضر,26
186,15,29,29,14,18,23,58,قائمة حزب العمل التونس ي,27
1 189,113,171,122,90,150,124,419,قائمة حركة وفاء,28
23 478,2 264,5 088,4 025,1 393,2 021,2 402,6 285,قائمة حزب حركة النهضة,29
856,41,276,60,50,91,119,219,قائمة حزب المبادرة,30
130,13,30,11,14,19,8,35,قائمة  اتحاد القوى الشبابية,31
117 244,13 450,22 725,16 635,7 999,10 403,12 880,33 152,الأصوات المصرح بها لكل القائمات,
