"الانتخابات التشريعية  2014",,,,,,,,,,,,,
"ورقة كشف نتائج دائرة تونس1",,,,,,,,,,,,,
"مجموع الأصواتالمصرح بها بالدائرةالانتخابية",توزيع الأصوات  المصرح بها حسب المعتمدية,القائمات المترشحة,,,,,,,,,,,
"","سيديحسين","سيديالبشير",جبل الجلود,باب سويقة,باب البحر,الوردية,المدينة,الكبارية,السيجومي,الزهور,الحرائرية,,
404,62,23,19,16,13,26,17,115,13,28,72,"قائمة اتحاد القوىالشبابية",1
5 016,345,390,116,492,772,467,340,764,88,406,836,"قائمة حزب آفاقتونس",2
664,73,25,40,38,67,57,54,97,20,39,154,"القائمة الدستوريةالموحدة",3
514,69,26,15,33,69,40,40,80,15,46,81,قائمة حزب المجد,4
282,51,7,11,17,14,16,14,39,2,26,85,"قائمة نحب بلادينظيفة",5
996,103,60,30,85,152,75,79,151,22,95,144,"قائمة حزب التحالفالديمقراطي",6
329,49,14,19,13,18,18,20,36,9,48,85,قائمة حزب الأمان,7
335,63,15,29,15,23,15,13,56,13,29,64,"قائمة حركةالديمقراطيين",8
249,50,8,22,15,12,13,18,39,7,17,48,"قائمة حزب الانفتاحوالوفاء",9
356,53,23,22,10,16,18,10,129,3,32,40,"قائمة التكافلالاجتماعي",10
53 343,7 420,2 952,2 349,3 676,3 723,4 175,3 042,8 775,1 887,4 850,10 494,"قائمة حزب حركةالنهضة",11
459,83,24,26,16,26,62,46,63,12,28,73,"قائمة حركةالديمقراطيين",12
437,73,19,31,30,40,22,19,67,21,38,77,"قائمة حزب الجبهةالوطنية التونسية",13
276,41,20,41,23,16,19,11,27,9,20,49,"قائمة حركة الشبابالوطني التونس ي",14
680,67,19,313,23,26,23,19,71,14,32,73,"قائمة حزب صوتشعب تونس",15
378,68,17,20,18,28,18,20,55,15,33,86,قائمة الحزب الاشتراكي,16
359,50,11,17,32,26,9,30,53,11,32,88,"قائمة حزب الإصلاحوالتنمية",17
257,46,11,11,12,23,20,19,43,7,20,45,"قائمة حزب العملالتونس ي",18
245,33,6,19,24,19,14,9,44,18,25,34,"قائمة حزب المؤتمرالشعبي",19
436,99,27,37,16,22,16,24,56,20,36,83,"قائمة حزب الخضرللتقدم",20
5 404,369,324,156,445,663,533,296,971,106,500,1 041,"قائمة حزب التيارالديمقراطي",22
360,65,37,21,13,26,13,21,63,17,28,56,"قائمة حزب البناءالوطني",23
865,171,39,60,51,75,35,42,132,25,74,161,قائمة تيار المحبة,24
1 796,105,148,116,153,372,135,176,258,28,122,183,"قائمة الاتحاد منأجل تونس",25
396,64,28,24,20,21,20,26,64,16,38,75,قائمة الحزب التونس ي,26
621,98,29,28,28,62,22,42,147,19,43,103,قائمة حركة الشعب,27
159,28,11,7,9,12,5,9,33,5,11,29,"قائمة الحزب الليبراليالتونس ي",28
151,20,11,12,12,13,8,10,19,7,15,24,"قائمة تونس موشللبيع",29
285,53,11,21,19,18,16,10,57,7,28,45,قائمة إرادة الشعب,30
267,39,17,20,17,24,15,20,25,16,24,50,قائمة الشعب يريد,31
60 295,5 882,3 844,2 617,5 274,10 071,4 443,4 459,8 059,1 351,5 133,9 162,"قائمة حركة نداءتونس",32
170,23,10,15,10,10,12,5,21,6,18,40,"قائمة اتحاد الشبابالديمقراطي التونس ي",34
136,17,12,8,8,7,20,9,16,2,11,26,قائمة عزم- توكل- بناء,35
704,89,29,45,45,70,40,49,118,25,70,124,"قائمة الائتلافالديمقراطي للعمل",36
584,113,23,34,28,33,43,34,95,18,41,122,"قائمة الحزب الإسلاميالتونس ي",37
2 014,202,122,85,163,274,179,102,352,41,168,326,"قائمة حزب المؤتمر منأجل الجمهورية",38
509,97,30,17,32,35,29,20,59,17,51,122,قائمة أمل تونس,39
439,76,27,14,35,47,19,44,47,11,56,63,قائمة البؤساء,40
868,89,62,28,64,93,77,70,119,35,76,155,قائمة حزب التكتل,41
5 321,599,288,195,346,1 013,352,342,849,63,399,875,قائمة الجبهة الشعبية,42
564,109,30,36,11,37,67,12,161,8,30,63,"قائمة حزب العريضةالشعبية",43
2 098,327,126,103,158,194,100,119,288,63,220,400,قائمة حزب الوحدة,44
341,66,22,19,17,22,14,22,44,12,32,71,"قائمة الحزب الشعبيالتقدمي",45
2 898,347,148,301,183,309,204,186,461,80,234,445,"قائمة الحزبالجمهوري",46
