منزل بوزلفة,قرمبالية,سليمان,تاكلسة,بوعرقوب,بني خلاد,الحمامات,list
56,127,63,46,65,74,117,قائمة حزب الغد
151,124,269,948,64,80,186,قائمة الحزب الاشتراكي
19,60,19,22,27,31,182,"قائمة حركة الديمقراطيينالاجتماعيين"
140,241,206,50,151,140,594,قائمة الحزب الجمهوري
24,56,30,9,24,31,56,قائمة حزب حركة الجمهورية
28,59,34,18,212,29,48,قائمة حركة الديمقراطيين الاشتراكيين
65,74,778,65,43,45,116,قائمة الاتحاد من أجل تونس
363,841,855,481,347,350,763,قائمة  الجبهة الشعبية
185,342,457,59,106,194,481,قائمة حزب التيار الديمقراطي
56,83,64,46,59,55,137,قائمة التآلف الوحدوي الديمقراطي
21,42,28,11,18,26,38,قائمة الحزب الليبرالي التونس ي
101,172,106,83,118,121,404,قائمة  تيار المحبة
28,42,20,9,31,40,128,قائمة حزب صوت شعب تونس
17,44,26,10,20,22,37,قائمة حزب الجبهة الوطنية التونسية
593,1280,879,255,707,833,1370,قائمة حزب الاتحاد الوطني الحر
27,43,26,19,20,70,37,قائمة شباب الوحدة
82,624,150,61,104,256,362,"قائمة حزب المؤتمر من أجلالجمهورية"
333,1629,304,66,467,459,467,قائمة حزب التحالف الديمقراطي
8163,10219,7527,3966,5110,6929,18333,قائمة حركة نداء تونس
35,247,32,20,38,25,48,قائمة حزب جبهة 17 ديسمبر للتنمية
111,78,40,24,51,50,155,قائمة حزب التكتل
254,390,324,61,148,202,1652,قائمة حزب آفاق تونس
24,63,14,12,22,21,39,قائمة تونس المستقبل
54,88,60,51,57,53,226,قائمة حزب الإصلاح والتنمية
38,58,36,25,51,44,72,قائمة حزب الخضر
15,29,29,14,18,23,58,قائمة حزب العمل التونس ي
113,171,122,90,150,124,419,قائمة حركة وفاء
2264,5088,4025,1393,2021,2402,6285,قائمة حزب حركة النهضة
41,276,60,50,91,119,219,قائمة حزب المبادرة
13,30,11,14,19,8,35,قائمة  اتحاد القوى الشبابية
